date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,415.0,416.0,410.0,415.0,0.0,10830.0,4473113.3,2022,8.05,38.2,4.5,12.5
2022-01-03,415.0,419.9,414.0,418.0,0.72,13872.0,5770963.2,2022,8.05,38.2,4.5,12.5
2022-01-04,412.0,425.0,410.0,424.0,1.44,15929.0,6685849.1,2022,8.05,38.2,4.5,12.5
2022-01-05,430.0,445.0,421.4,425.0,0.24,25832.0,11095196.0,2022,8.05,38.2,4.5,12.5
2022-01-06,420.0,433.0,420.0,430.9,1.39,13157.0,5636316.3,2022,8.05,38.2,4.5,12.5
2022-01-09,439.0,453.0,431.0,451.0,4.66,47660.0,21165109.3,2022,8.05,38.2,4.5,12.5
2022-01-10,455.0,464.0,445.0,449.5,-0.33,38615.0,17526233.4,2022,8.05,38.2,4.5,12.5
2022-01-11,450.0,488.0,446.0,457.0,1.67,31544.0,14346406.9,2022,8.05,38.2,4.5,12.5
2022-01-12,460.0,474.9,450.0,454.0,-0.66,32648.0,15074528.3,2022,8.05,38.2,4.5,12.5
2022-01-13,457.0,465.0,448.0,459.0,1.1,24014.0,10994573.1,2022,8.05,38.2,4.5,12.5
2022-01-16,468.0,485.0,468.0,479.0,4.36,46913.0,22382894.4,2022,8.05,38.2,4.5,12.5
2022-01-17,481.0,481.0,466.0,476.0,-0.63,31568.0,14919332.2,2022,8.05,38.2,4.5,12.5
2022-01-18,485.0,485.5,461.0,473.0,-0.63,28469.0,13369513.4,2022,8.05,38.2,4.5,12.5
2022-01-19,474.0,474.0,460.0,460.0,-2.75,25754.0,11930551.7,2022,8.05,38.2,4.5,12.5
2022-01-20,460.0,466.0,452.0,465.0,1.09,19267.0,8881133.3,2022,8.05,38.2,4.5,12.5
2022-01-23,474.0,474.0,451.0,459.0,-1.29,30667.0,14053162.3,2022,8.05,38.2,4.5,12.5
2022-01-24,450.0,455.0,436.0,437.0,-4.79,54678.0,24170271.2,2022,8.05,38.2,4.5,12.5
2022-01-25,430.0,450.0,426.0,435.0,-0.46,26212.0,11504910.3,2022,8.05,38.2,4.5,12.5
2022-01-26,430.5,438.0,426.5,426.5,-1.95,31305.0,13476203.7,2022,8.05,38.2,4.5,12.5
2022-01-27,430.0,438.0,425.2,426.0,-0.12,20457.0,8765162.4,2022,8.05,38.2,4.5,12.5
2022-01-30,434.5,450.0,434.5,450.0,5.63,28859.0,12812454.5,2022,8.05,38.2,4.5,12.5
2022-01-31,455.0,462.0,436.2,440.0,-2.22,21078.0,9381544.1,2022,8.05,38.2,4.5,12.5
2022-02-01,442.0,456.9,438.0,454.0,3.18,30293.0,13613532.7,2022,8.05,38.2,4.5,12.5
2022-02-03,463.0,473.0,460.0,460.7,1.48,54529.0,25331192.7,2022,8.05,38.2,4.5,12.5
2022-02-06,455.0,468.0,455.0,460.0,-0.15,38775.0,17806654.3,2022,8.05,38.2,4.5,12.5
2022-02-07,460.0,465.0,455.2,456.0,-0.87,19615.0,9024163.2,2022,8.05,38.2,4.5,12.5
2022-02-08,465.1,473.0,455.0,457.0,0.22,26186.0,12112811.6,2022,8.05,38.2,4.5,12.5
2022-02-09,448.0,455.0,444.1,445.0,-2.63,13824.0,6173571.6,2022,8.05,38.2,4.5,12.5
2022-02-10,453.0,453.0,434.2,439.0,-1.35,17098.0,7510584.7,2022,8.05,38.2,4.5,12.5
2022-02-13,440.0,440.0,424.0,425.0,-3.19,31166.0,13306019.3,2022,8.05,38.2,4.5,12.5
2022-02-14,420.0,432.9,420.0,427.0,0.47,17103.0,7332281.0,2022,8.05,38.2,4.5,12.5
2022-02-15,430.0,438.0,422.0,435.0,1.87,28269.0,12145197.5,2022,8.05,38.2,4.5,12.5
2022-02-16,443.7,443.7,428.5,429.0,-1.38,13235.0,5747008.5,2022,8.05,38.2,4.5,12.5
2022-02-17,435.0,435.0,426.0,429.1,0.02,6150.0,2646094.8,2022,8.05,38.2,4.5,12.5
2022-02-20,427.0,430.0,411.0,427.8,-0.3,19040.0,8067817.3,2022,8.05,38.2,4.5,12.5
2022-02-21,430.0,449.3,422.7,438.5,2.5,59864.0,25874169.0,2022,8.05,38.2,4.5,12.5
2022-02-22,445.8,447.0,437.6,439.0,0.11,15520.0,6848074.3,2022,8.05,38.2,4.5,12.5
2022-02-23,447.7,447.7,435.1,437.0,-0.46,16537.0,7267262.7,2022,8.05,38.2,4.5,12.5
2022-02-24,432.0,436.9,425.0,425.0,-2.75,30993.0,13259498.2,2022,8.05,38.2,4.5,12.5
2022-02-27,425.0,435.0,420.0,431.0,1.41,30306.0,13012746.3,2022,8.05,38.2,4.5,12.5
2022-02-28,439.6,448.3,424.0,425.0,-1.39,39974.0,17360167.7,2022,8.05,38.2,4.5,12.5
2022-03-02,425.0,425.0,410.0,410.0,-3.53,24331.0,10121178.9,2022,8.05,38.2,4.5,12.5
