date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,556.9,558.0,545.0,553.0,1.28,12496.0,6893260.5,2022,9.93,45.2,8.7,5.0
2022-01-03,559.9,563.8,545.0,554.9,0.34,21227.0,11763333.5,2022,9.93,45.2,8.7,5.0
2022-01-04,560.0,572.0,545.0,567.0,2.18,31270.0,17609817.1,2022,9.93,45.2,8.7,5.0
2022-01-05,572.0,591.3,566.1,573.0,1.06,44974.0,26061520.6,2022,9.93,45.2,8.7,5.0
2022-01-06,573.0,591.5,562.0,587.0,2.44,25445.0,14787229.4,2022,9.93,45.2,8.7,5.0
2022-01-09,576.0,617.0,576.0,616.1,4.96,49899.0,30377927.3,2022,9.93,45.2,8.7,5.0
2022-01-10,626.0,635.0,606.6,628.0,1.93,38068.0,23679476.5,2022,9.93,45.2,8.7,5.0
2022-01-11,622.0,666.0,617.0,650.0,3.5,46918.0,30260301.5,2022,9.93,45.2,8.7,5.0
2022-01-12,650.0,699.0,646.0,663.0,2.0,105742.0,71161139.5,2022,9.93,45.2,8.7,5.0
2022-01-13,663.0,712.0,656.0,709.0,6.94,92138.0,63634076.7,2022,9.93,45.2,8.7,5.0
2022-01-16,722.2,744.6,720.0,723.0,1.97,78329.0,57338939.8,2022,9.93,45.2,8.7,5.0
2022-01-17,725.0,746.0,710.0,737.0,1.94,108882.0,78960322.9,2022,9.93,45.2,8.7,5.0
2022-01-18,748.0,775.0,735.0,756.0,2.58,158186.0,119755527.5,2022,9.93,45.2,8.7,5.0
2022-01-19,756.0,770.0,740.0,742.0,-1.85,75762.0,56896068.0,2022,9.93,45.2,8.7,5.0
2022-01-20,742.0,762.0,731.0,760.0,2.43,79531.0,59723511.2,2022,9.93,45.2,8.7,5.0
2022-01-23,770.0,770.0,742.0,743.0,-2.24,56581.0,42599141.3,2022,9.93,45.2,8.7,5.0
2022-01-24,732.1,740.0,687.0,698.0,-6.06,190292.0,135346215.9,2022,9.93,45.2,8.7,5.0
2022-01-25,698.0,718.0,680.0,693.0,-0.72,76897.0,53659993.1,2022,9.93,45.2,8.7,5.0
2022-01-26,682.0,700.0,677.0,688.0,-0.72,45732.0,31402651.1,2022,9.93,45.2,8.7,5.0
2022-01-27,680.0,700.0,680.0,688.0,0.0,35664.0,24687884.0,2022,9.93,45.2,8.7,5.0
2022-01-30,701.0,730.0,701.0,729.8,6.08,67422.0,48742044.0,2022,9.93,45.2,8.7,5.0
2022-01-31,735.0,740.0,710.0,712.0,-2.44,39669.0,28474414.6,2022,9.93,45.2,8.7,5.0
2022-02-01,712.0,735.0,704.7,726.1,1.98,49627.0,35950726.4,2022,9.93,45.2,8.7,5.0
2022-02-03,740.6,748.1,717.0,717.0,-1.25,101001.0,74647789.0,2022,9.93,45.2,8.7,5.0
2022-02-06,715.0,724.0,702.0,706.0,-1.53,39558.0,28072660.4,2022,9.93,45.2,8.7,5.0
2022-02-07,705.0,719.0,700.0,713.0,0.99,30499.0,21746231.0,2022,9.93,45.2,8.7,5.0
2022-02-08,727.0,750.0,695.0,700.9,-1.7,67937.0,48286526.9,2022,9.93,45.2,8.7,5.0
2022-02-09,700.9,705.0,685.0,689.0,-1.7,25508.0,17663359.0,2022,9.93,45.2,8.7,5.0
2022-02-10,695.0,700.0,682.1,687.0,-0.29,16520.0,11367818.1,2022,9.93,45.2,8.7,5.0
2022-02-13,678.0,678.0,645.0,650.0,-5.39,57337.0,37660359.3,2022,9.93,45.2,8.7,5.0
2022-02-14,650.0,662.0,650.0,657.0,1.08,27806.0,18233973.1,2022,9.93,45.2,8.7,5.0
2022-02-15,670.1,708.0,658.0,700.0,6.54,28337.0,19206831.6,2022,9.93,45.2,8.7,5.0
2022-02-16,700.0,714.0,675.0,675.0,-3.57,44658.0,30661533.7,2022,9.93,45.2,8.7,5.0
2022-02-17,688.5,698.0,667.3,677.0,0.3,23517.0,16006829.0,2022,9.93,45.2,8.7,5.0
2022-02-20,670.0,681.0,656.0,666.0,-1.62,36333.0,24419359.2,2022,9.93,45.2,8.7,5.0
2022-02-21,679.3,683.4,666.0,680.0,2.1,21790.0,14723261.0,2022,9.93,45.2,8.7,5.0
2022-02-22,693.6,693.6,680.0,684.9,0.72,34012.0,23311956.1,2022,9.93,45.2,8.7,5.0
2022-02-23,698.5,698.5,673.0,677.0,-1.15,14935.0,10174863.3,2022,9.93,45.2,8.7,5.0
2022-02-24,690.5,690.5,658.0,663.0,-2.07,25836.0,17162070.1,2022,9.93,45.2,8.7,5.0
2022-02-27,676.2,680.7,660.0,662.0,-0.15,27263.0,18243586.9,2022,9.93,45.2,8.7,5.0
2022-02-28,675.2,699.0,638.0,650.0,-1.81,55096.0,36279846.6,2022,9.93,45.2,8.7,5.0
2022-03-02,656.0,656.0,611.0,618.0,-4.92,39807.0,24744957.4,2022,9.93,45.2,8.7,5.0
2022-03-06,630.3,630.3,595.0,606.0,-1.94,19435.0,11817109.4,2022,9.93,45.2,8.7,5.0
2022-03-07,618.1,620.0,598.0,601.0,-0.83,24144.0,14606915.2,2022,9.93,45.2,8.7,5.0
2022-03-09,612.0,612.0,578.0,588.0,-2.16,25581.0,15005491.5,2022,9.93,45.2,8.7,5.0
2022-03-10,590.0,623.7,582.0,620.0,5.44,28447.0,17164014.5,2022,9.93,45.2,8.7,5.0
2022-03-13,632.4,642.0,618.0,630.0,1.61,34272.0,21614838.1,2022,9.93,45.2,8.7,5.0
2022-03-14,635.0,635.0,618.0,620.8,-1.46,12943.0,8080887.0,2022,9.93,45.2,8.7,5.0
2022-03-15,633.2,633.2,605.0,607.5,-2.14,31699.0,19307446.6,2022,9.93,45.2,8.7,5.0
2022-03-16,609.0,610.0,595.9,599.5,-1.32,32394.0,19461389.6,2022,9.93,45.2,8.7,5.0
2022-03-20,611.4,611.4,594.0,599.9,0.07,14882.0,8910573.5,2022,9.93,45.2,8.7,5.0
2022-03-21,611.8,634.5,598.0,632.0,5.35,36538.0,22596902.6,2022,9.93,45.2,8.7,5.0
2022-03-22,644.6,644.6,625.0,626.0,-0.95,17449.0,11008036.3,2022,9.93,45.2,8.7,5.0
2022-03-23,620.0,621.0,612.2,617.0,-1.44,8430.0,5196545.2,2022,9.93,45.2,8.7,5.0
2022-03-24,629.3,629.3,605.2,608.0,-1.46,12112.0,7395879.2,2022,9.93,45.2,8.7,5.0
2022-03-27,608.0,613.0,594.0,596.1,-1.96,14873.0,8927337.3,2022,9.93,45.2,8.7,5.0
2022-03-28,590.0,607.8,589.0,597.0,0.15,19098.0,11404123.8,2022,9.93,45.2,8.7,5.0
2022-03-29,597.0,606.0,587.0,590.0,-1.17,7665.0,4549278.0,2022,9.93,45.2,8.7,5.0
2022-03-30,592.0,607.0,589.8,600.0,1.69,21890.0,13067120.5,2022,9.93,45.2,8.7,5.0
2022-03-31,609.0,609.0,590.1,591.2,-1.47,10559.0,6304698.0,2022,9.93,45.2,8.7,5.0
2022-04-03,585.0,595.0,584.0,585.0,-1.05,8380.0,4907084.5,2022,9.93,45.2,8.7,5.0
2022-04-04,593.0,593.5,578.0,580.0,-0.85,6375.0,3715937.7,2022,9.93,45.2,8.7,5.0
2022-04-05,578.0,578.0,555.0,559.0,-3.62,30699.0,17290178.3,2022,9.93,45.2,8.7,5.0
2022-04-06,549.0,561.0,540.2,555.0,-0.72,25982.0,14282183.2,2022,9.93,45.2,8.7,5.0
2022-04-07,555.0,570.0,555.0,562.0,1.26,22008.0,12319495.2,2022,9.93,45.2,8.7,5.0
2022-04-11,573.0,580.0,551.0,553.0,-1.6,13343.0,7518531.5,2022,9.93,45.2,8.7,5.0
2022-04-12,564.0,564.0,536.1,539.9,-2.37,8345.0,4522640.3,2022,9.93,45.2,8.7,5.0
2022-04-13,540.0,550.0,536.0,542.3,0.44,10093.0,5484318.1,2022,9.93,45.2,8.7,5.0
2022-04-17,552.9,555.0,533.0,534.0,-1.53,6857.0,3708173.3,2022,9.93,45.2,8.7,5.0
2022-04-18,526.0,535.0,514.0,515.0,-3.56,20051.0,10454833.6,2022,9.93,45.2,8.7,5.0
2022-04-19,512.0,522.0,505.2,514.0,-0.19,10072.0,5176196.5,2022,9.93,45.2,8.7,5.0
2022-04-20,515.0,520.0,504.1,510.0,-0.78,9740.0,4965410.6,2022,9.93,45.2,8.7,5.0
2022-04-21,500.0,510.0,490.2,505.0,-0.98,16258.0,8136880.9,2022,9.93,45.2,8.7,5.0
2022-04-24,515.0,552.8,507.3,539.0,6.73,19444.0,10240937.4,2022,9.93,45.2,8.7,5.0
2022-04-25,545.0,561.0,526.0,535.0,-0.74,21020.0,11449678.2,2022,9.93,45.2,8.7,5.0
2022-04-26,535.0,545.0,523.0,523.0,-2.24,11812.0,6279392.8,2022,9.93,45.2,8.7,5.0
2022-04-27,523.0,559.9,523.0,552.0,5.54,43623.0,23662367.3,2022,9.93,45.2,8.7,5.0
2022-04-28,557.0,580.0,555.0,575.0,4.17,51181.0,29280593.7,2022,9.93,45.2,8.7,5.0
2022-05-02,581.0,582.0,538.0,540.0,-6.09,28951.0,15960524.6,2022,9.93,45.2,8.7,5.0
2022-05-04,531.2,545.7,527.0,530.2,-1.81,19990.0,10694390.5,2022,9.93,45.2,8.7,5.0
