date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,354.0,365.0,354.0,363.0,2.54,53951.0,19459574.5,2022,18.47,14.1,11.85,10.98
2022-01-03,367.9,377.0,366.0,372.0,2.48,55415.0,20542391.9,2022,18.47,14.1,11.85,10.98
2022-01-04,368.0,384.0,365.0,381.9,2.66,62937.0,23707800.2,2022,18.47,14.1,11.85,10.98
2022-01-05,384.0,392.5,373.0,376.0,-1.54,80827.0,30871358.4,2022,18.47,14.1,11.85,10.98
2022-01-06,377.0,381.9,375.0,378.0,0.53,61095.0,23092370.8,2022,18.47,14.1,11.85,10.98
2022-01-09,370.5,390.0,370.5,384.9,1.83,177321.0,68269254.2,2022,18.47,14.1,11.85,10.98
2022-01-10,384.0,390.0,382.0,385.0,0.03,91331.0,35245988.9,2022,18.47,14.1,11.85,10.98
2022-01-11,385.0,388.0,381.0,384.0,-0.26,87321.0,33627094.4,2022,18.47,14.1,11.85,10.98
2022-01-12,384.1,390.0,379.0,380.0,-1.04,78811.0,30238929.5,2022,18.47,14.1,11.85,10.98
2022-01-13,384.0,385.0,373.0,384.0,1.05,71088.0,26967301.0,2022,18.47,14.1,11.85,10.98
2022-01-16,389.0,396.0,383.0,393.0,2.34,154581.0,60365907.0,2022,18.47,14.1,11.85,10.98
2022-01-17,397.0,400.0,390.0,395.0,0.51,72704.0,28675566.5,2022,18.47,14.1,11.85,10.98
2022-01-18,398.0,402.0,390.0,396.0,0.25,117028.0,46593499.6,2022,18.47,14.1,11.85,10.98
2022-01-19,396.0,402.0,391.5,392.0,-1.01,81500.0,32270310.4,2022,18.47,14.1,11.85,10.98
2022-01-20,391.0,396.5,385.5,391.0,-0.26,61543.0,24003367.2,2022,18.47,14.1,11.85,10.98
2022-01-23,391.0,392.0,381.0,383.0,-2.05,75601.0,29164682.0,2022,18.47,14.1,11.85,10.98
2022-01-24,380.0,381.0,367.0,367.0,-4.18,92034.0,34167574.7,2022,18.47,14.1,11.85,10.98
2022-01-25,374.3,374.3,356.0,365.0,-0.54,73933.0,27042187.9,2022,18.47,14.1,11.85,10.98
2022-01-26,365.0,365.0,356.0,359.0,-1.64,49631.0,17857378.6,2022,18.47,14.1,11.85,10.98
2022-01-27,358.0,363.0,357.0,360.1,0.31,33397.0,12021955.8,2022,18.47,14.1,11.85,10.98
2022-01-30,367.0,375.0,367.0,370.0,2.75,59035.0,21803436.4,2022,18.47,14.1,11.85,10.98
2022-01-31,376.0,377.0,364.0,367.0,-0.81,34113.0,12570978.6,2022,18.47,14.1,11.85,10.98
2022-02-01,367.0,369.0,359.7,369.0,0.54,84378.0,30743527.6,2022,18.47,14.1,11.85,10.98
2022-02-03,376.0,376.3,368.0,369.0,0.0,66693.0,24779701.5,2022,18.47,14.1,11.85,10.98
2022-02-06,368.0,368.0,362.6,363.0,-1.63,53066.0,19327105.2,2022,18.47,14.1,11.85,10.98
2022-02-07,363.5,365.0,360.0,363.5,0.14,22657.0,8215089.6,2022,18.47,14.1,11.85,10.98
2022-02-08,370.0,377.2,360.0,360.2,-0.91,48181.0,17643912.7,2022,18.47,14.1,11.85,10.98
2022-02-09,364.0,364.0,355.1,358.0,-0.61,47307.0,16905570.7,2022,18.47,14.1,11.85,10.98
2022-02-10,360.0,360.0,353.0,355.0,-0.84,50955.0,18091271.6,2022,18.47,14.1,11.85,10.98
2022-02-13,348.0,352.0,341.0,348.0,-1.97,80768.0,28050876.1,2022,18.47,14.1,11.85,10.98
2022-02-14,342.0,354.0,342.0,345.0,-0.86,59328.0,20558621.1,2022,18.47,14.1,11.85,10.98
2022-02-15,350.0,350.2,342.5,345.0,0.0,97302.0,33591698.2,2022,18.47,14.1,11.85,10.98
2022-02-16,350.0,350.0,343.0,344.2,-0.23,23386.0,8070452.7,2022,18.47,14.1,11.85,10.98
2022-02-17,345.0,346.0,342.0,343.0,-0.35,35697.0,12289016.6,2022,18.47,14.1,11.85,10.98
2022-02-20,340.0,343.0,325.0,338.0,-1.46,43187.0,14614284.2,2022,18.47,14.1,11.85,10.98
2022-02-21,340.0,343.0,336.0,338.0,0.0,64069.0,21647206.9,2022,18.47,14.1,11.85,10.98
2022-02-22,340.0,343.0,338.0,338.1,0.03,46629.0,15892130.3,2022,18.47,14.1,11.85,10.98
2022-02-23,340.1,342.0,337.0,337.0,-0.33,44419.0,15060635.1,2022,18.47,14.1,11.85,10.98
2022-02-24,336.5,338.0,331.1,333.0,-1.19,48777.0,16244479.9,2022,18.47,14.1,11.85,10.98
2022-02-27,332.0,336.0,330.0,334.4,0.42,28879.0,9616663.4,2022,18.47,14.1,11.85,10.98
2022-02-28,340.0,340.0,329.6,331.0,-1.02,78521.0,26031168.9,2022,18.47,14.1,11.85,10.98
