date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,414.2,421.0,405.0,413.6,1.84,93520.0,38403012.7,2022,22.42,13.2,12.6,13.16
2022-01-03,418.0,427.0,415.0,426.0,3.0,86955.0,36799283.7,2022,22.42,13.2,12.6,13.16
2022-01-04,429.9,452.0,419.5,450.1,5.66,154504.0,67750757.9,2022,22.42,13.2,12.6,13.16
2022-01-05,455.0,455.0,436.1,438.0,-2.69,111207.0,49482499.2,2022,22.42,13.2,12.6,13.16
2022-01-06,440.0,452.0,434.0,451.1,2.99,146497.0,65311890.5,2022,22.42,13.2,12.6,13.16
2022-01-09,455.0,467.9,455.0,464.0,2.86,166776.0,77002833.4,2022,22.42,13.2,12.6,13.16
2022-01-10,468.0,469.0,455.0,457.0,-1.51,91946.0,42450858.0,2022,22.42,13.2,12.6,13.16
2022-01-11,456.0,466.0,455.0,464.7,1.68,90968.0,42065126.9,2022,22.42,13.2,12.6,13.16
2022-01-12,457.1,465.0,450.0,453.0,-2.52,75811.0,34573240.2,2022,22.42,13.2,12.6,13.16
2022-01-13,455.0,460.0,449.0,459.0,1.32,70869.0,32168946.1,2022,22.42,13.2,12.6,13.16
2022-01-16,467.0,470.0,458.0,470.0,2.4,180707.0,83893411.4,2022,22.42,13.2,12.6,13.16
2022-01-17,473.0,480.0,463.0,470.0,0.0,145739.0,68852386.2,2022,22.42,13.2,12.6,13.16
2022-01-18,466.5,485.5,465.0,475.0,1.06,180428.0,85612939.9,2022,22.42,13.2,12.6,13.16
2022-01-19,484.0,484.0,465.0,470.0,-1.05,91842.0,43180365.7,2022,22.42,13.2,12.6,13.16
2022-01-20,470.0,471.0,463.0,467.5,-0.53,62906.0,29366187.7,2022,22.42,13.2,12.6,13.16
2022-01-23,467.8,486.3,466.0,472.0,0.96,140926.0,66737575.0,2022,22.42,13.2,12.6,13.16
2022-01-24,481.4,481.4,451.0,458.0,-2.97,170021.0,77929686.8,2022,22.42,13.2,12.6,13.16
2022-01-25,467.1,467.1,446.0,454.0,-0.87,94791.0,43399323.5,2022,22.42,13.2,12.6,13.16
2022-01-26,460.0,460.0,445.0,445.8,-1.81,70434.0,31536144.2,2022,22.42,13.2,12.6,13.16
2022-01-27,447.5,451.0,441.0,443.0,-0.63,47091.0,20994371.2,2022,22.42,13.2,12.6,13.16
2022-01-30,451.8,463.0,450.0,460.0,3.84,59776.0,27475253.9,2022,22.42,13.2,12.6,13.16
2022-01-31,464.0,465.0,452.0,452.6,-1.61,32745.0,14905103.1,2022,22.42,13.2,12.6,13.16
2022-02-01,450.5,458.0,446.0,456.0,0.75,54695.0,24707767.7,2022,22.42,13.2,12.6,13.16
2022-02-03,456.0,465.0,450.1,455.0,-0.22,64627.0,29655334.4,2022,22.42,13.2,12.6,13.16
2022-02-06,456.1,456.1,448.2,448.4,-1.45,37059.0,16698386.1,2022,22.42,13.2,12.6,13.16
2022-02-07,446.0,453.0,445.0,446.1,-0.51,29428.0,13181969.1,2022,22.42,13.2,12.6,13.16
2022-02-08,455.0,463.0,441.5,444.0,-0.47,52555.0,23529635.0,2022,22.42,13.2,12.6,13.16
2022-02-09,448.0,448.0,438.0,438.9,-1.15,33765.0,14879541.3,2022,22.42,13.2,12.6,13.16
2022-02-10,439.5,443.0,431.1,433.0,-1.34,50151.0,21840236.4,2022,22.42,13.2,12.6,13.16
2022-02-13,431.0,431.0,420.0,423.0,-2.31,307377.0,130322765.2,2022,22.42,13.2,12.6,13.16
2022-02-14,423.0,427.0,420.0,424.0,0.24,43169.0,18324222.9,2022,22.42,13.2,12.6,13.16
2022-02-15,432.0,432.0,420.0,430.0,1.42,56255.0,23881630.1,2022,22.42,13.2,12.6,13.16
2022-02-16,430.0,431.5,422.4,425.9,-0.95,28139.0,11980425.9,2022,22.42,13.2,12.6,13.16
2022-02-17,434.0,434.0,423.5,427.0,0.26,21757.0,9273584.4,2022,22.42,13.2,12.6,13.16
2022-02-20,421.1,424.0,416.0,419.0,-1.87,46557.0,19528910.0,2022,22.42,13.2,12.6,13.16
2022-02-21,419.0,425.0,416.0,423.9,1.17,65224.0,27493237.0,2022,22.42,13.2,12.6,13.16
2022-02-22,425.0,428.0,423.2,427.3,0.8,47200.0,20153100.9,2022,22.42,13.2,12.6,13.16
2022-02-23,425.0,429.0,421.0,424.0,-0.77,33703.0,14353638.8,2022,22.42,13.2,12.6,13.16
2022-02-24,424.0,424.0,414.0,415.5,-2.0,34467.0,14377051.1,2022,22.42,13.2,12.6,13.16
2022-02-27,417.0,417.0,410.1,411.5,-0.96,52154.0,21525889.1,2022,22.42,13.2,12.6,13.16
2022-02-28,404.0,420.0,404.0,408.0,-0.85,64396.0,26391321.7,2022,22.42,13.2,12.6,13.16
2022-03-02,400.0,408.0,397.0,400.0,-1.96,69730.0,27964181.4,2022,22.42,13.2,12.6,13.16
2022-03-06,392.0,407.0,392.0,400.6,0.15,62111.0,24888619.8,2022,22.42,13.2,12.6,13.16
2022-03-07,392.6,405.0,392.6,400.0,-0.15,56020.0,22375184.6,2022,22.42,13.2,12.6,13.16
2022-03-09,401.0,404.0,395.0,395.0,-1.25,33024.0,13133488.8,2022,22.42,13.2,12.6,13.16
2022-03-10,396.0,400.0,394.0,400.0,1.27,39386.0,15646557.3,2022,22.42,13.2,12.6,13.16
2022-03-13,408.0,415.0,402.0,410.0,2.5,88147.0,36069128.1,2022,22.42,13.2,12.6,13.16
2022-03-14,418.0,418.0,406.3,412.0,0.49,23030.0,9484217.9,2022,22.42,13.2,12.6,13.16
2022-03-15,415.0,415.0,406.8,408.0,-0.97,48889.0,19986168.9,2022,22.42,13.2,12.6,13.16
2022-03-16,412.0,415.8,403.0,404.0,-0.98,68113.0,27694646.5,2022,22.42,13.2,12.6,13.16
2022-03-20,410.0,410.0,403.0,406.7,0.67,36732.0,14879489.3,2022,22.42,13.2,12.6,13.16
2022-03-21,414.8,414.8,403.0,408.0,0.32,39469.0,15992521.1,2022,22.42,13.2,12.6,13.16
2022-03-22,410.0,413.0,406.8,409.0,0.25,39578.0,16184975.4,2022,22.42,13.2,12.6,13.16
2022-03-23,405.1,410.0,403.0,405.5,-0.86,38618.0,15636344.4,2022,22.42,13.2,12.6,13.16
2022-03-24,409.9,409.9,402.1,402.2,-0.81,53080.0,21431384.3,2022,22.42,13.2,12.6,13.16
2022-03-27,402.0,406.5,397.0,398.0,-1.04,88284.0,35264928.0,2022,22.42,13.2,12.6,13.16
2022-03-28,405.0,405.0,393.3,395.0,-0.75,42554.0,16838494.7,2022,22.42,13.2,12.6,13.16
2022-03-29,396.0,398.0,393.0,395.0,0.0,26739.0,10547939.7,2022,22.42,13.2,12.6,13.16
2022-03-30,396.0,398.0,392.1,397.0,0.51,41942.0,16581330.3,2022,22.42,13.2,12.6,13.16
2022-03-31,400.0,403.0,395.0,399.0,0.5,56066.0,22444540.0,2022,22.42,13.2,12.6,13.16
2022-04-03,403.0,403.0,395.0,396.0,-0.75,32499.0,12950998.3,2022,22.42,13.2,12.6,13.16
2022-04-04,403.9,403.9,393.0,396.0,0.0,35593.0,14078232.1,2022,22.42,13.2,12.6,13.16
2022-04-05,403.9,403.9,389.0,392.0,-1.01,75026.0,29311066.1,2022,22.42,13.2,12.6,13.16
2022-04-06,388.0,392.0,385.0,386.9,-1.3,38829.0,15030179.1,2022,22.42,13.2,12.6,13.16
2022-04-07,389.0,397.9,386.1,395.0,2.09,47077.0,18425613.0,2022,22.42,13.2,12.6,13.16
2022-04-11,402.0,410.0,392.1,395.0,0.0,53861.0,21320589.4,2022,22.42,13.2,12.6,13.16
2022-04-12,389.9,395.0,389.5,393.0,-0.51,32157.0,12593527.3,2022,22.42,13.2,12.6,13.16
2022-04-13,393.0,398.9,390.0,395.0,0.51,29042.0,11485671.2,2022,22.42,13.2,12.6,13.16
2022-04-17,402.9,402.9,389.0,392.0,-0.76,31456.0,12436816.2,2022,22.42,13.2,12.6,13.16
2022-04-18,398.0,398.0,388.0,388.3,-0.94,32142.0,12568535.5,2022,22.42,13.2,12.6,13.16
2022-04-19,396.0,400.0,386.0,400.0,3.01,48613.0,19088251.5,2022,22.42,13.2,12.6,13.16
2022-04-20,408.0,408.0,389.0,395.0,-1.25,108344.0,42980624.8,2022,22.42,13.2,12.6,13.16
2022-04-21,391.2,398.0,388.0,392.0,-0.76,28318.0,11074906.0,2022,22.42,13.2,12.6,13.16
2022-04-24,399.0,402.0,395.2,402.0,2.55,27519.0,10970802.2,2022,22.42,13.2,12.6,13.16
2022-04-25,406.0,406.7,397.0,397.0,-1.24,27935.0,11179149.3,2022,22.42,13.2,12.6,13.16
2022-04-26,398.0,402.0,392.0,399.0,0.5,106362.0,42182006.1,2022,22.42,13.2,12.6,13.16
2022-04-27,395.0,399.0,394.0,398.0,-0.25,17927.0,7108027.6,2022,22.42,13.2,12.6,13.16
2022-04-28,405.9,405.9,392.5,393.0,-1.26,21520.0,8522453.6,2022,22.42,13.2,12.6,13.16
2022-05-02,394.0,396.0,385.4,387.0,-1.53,27540.0,10692124.0,2022,22.42,13.2,12.6,13.16
2022-05-04,394.7,394.7,378.1,383.0,-1.03,21198.0,8134731.0,2022,22.42,13.2,12.6,13.16
2022-05-05,380.0,382.0,378.0,380.0,-0.78,50245.0,19110995.0,2022,22.42,13.2,12.6,13.16
2022-05-08,384.0,384.0,374.0,381.0,0.26,19898.0,7500151.7,2022,22.42,13.2,12.6,13.16
2022-05-09,388.6,388.6,379.0,382.0,0.26,43943.0,16820924.5,2022,22.42,13.2,12.6,13.16
2022-05-10,389.0,390.0,384.0,389.0,1.83,37090.0,14316366.9,2022,22.42,13.2,12.6,13.16
2022-05-11,395.0,397.0,392.0,396.6,1.95,14681.0,5795057.9,2022,22.42,13.2,12.6,13.16
2022-05-12,400.0,401.0,395.0,396.0,-0.15,33703.0,13420736.5,2022,22.42,13.2,12.6,13.16
2022-05-17,392.0,392.0,388.0,388.0,-2.02,18805.0,7319890.9,2022,22.42,13.2,12.6,13.16
2022-05-18,393.0,393.0,382.0,386.1,-0.49,8398.0,3247615.4,2022,22.42,13.2,12.6,13.16
2022-05-19,383.7,391.0,383.7,385.0,-0.28,24289.0,9355956.7,2022,22.42,13.2,12.6,13.16
2022-05-20,385.0,387.0,383.0,383.0,-0.52,10244.0,3933044.4,2022,22.42,13.2,12.6,13.16
2022-05-23,390.6,390.6,374.0,377.0,-1.57,31599.0,11888447.7,2022,22.42,13.2,12.6,13.16
2022-05-24,384.5,384.5,376.0,382.0,1.33,21162.0,8044287.6,2022,22.42,13.2,12.6,13.16
2022-05-25,389.6,389.6,377.0,386.0,1.05,29132.0,11210693.6,2022,22.42,13.2,12.6,13.16
2022-05-26,393.7,393.7,382.1,385.0,-0.26,18820.0,7244118.2,2022,22.42,13.2,12.6,13.16
2022-05-27,385.0,385.0,378.0,382.0,-0.78,38462.0,14636416.2,2022,22.42,13.2,12.6,13.16
2022-05-30,389.6,389.6,374.0,376.6,-1.41,19999.0,7518653.1,2022,22.42,13.2,12.6,13.16
2022-05-31,370.0,375.0,366.0,366.0,-2.81,39251.0,14505541.0,2022,22.42,13.2,12.6,13.16
2022-06-01,372.0,372.0,364.0,367.0,0.27,22933.0,8413371.3,2022,22.42,13.2,12.6,13.16
2022-06-02,374.0,374.0,361.7,365.0,-0.54,29420.0,10710938.9,2022,22.42,13.2,12.6,13.16
2022-06-03,372.3,372.3,355.0,355.0,-2.74,42357.0,15158974.2,2022,22.42,13.2,12.6,13.16
2022-06-06,360.0,360.0,343.0,347.0,-2.25,60191.0,20986285.7,2022,22.42,13.2,12.6,13.16
2022-06-07,345.0,345.0,329.0,335.5,-3.31,51710.0,17386719.3,2022,22.42,13.2,12.6,13.16
2022-06-08,340.0,347.0,336.0,338.0,0.75,41783.0,14271196.9,2022,22.42,13.2,12.6,13.16
2022-06-09,344.7,346.9,337.4,338.0,0.0,26454.0,9022555.7,2022,22.42,13.2,12.6,13.16
2022-06-10,344.7,344.7,331.5,336.0,-0.59,9361.0,3125979.9,2022,22.42,13.2,12.6,13.16
2022-06-13,342.7,342.7,330.0,334.0,-0.6,20729.0,6922496.6,2022,22.42,13.2,12.6,13.16
2022-06-14,333.0,333.0,326.0,328.0,-1.8,24892.0,8165739.5,2022,22.42,13.2,12.6,13.16
2022-06-15,334.5,334.5,315.6,319.0,-2.74,29081.0,9286173.0,2022,22.42,13.2,12.6,13.16
2022-06-16,315.2,327.0,315.2,318.0,-0.31,37095.0,11828571.5,2022,22.42,13.2,12.6,13.16
2022-06-17,316.0,325.0,315.1,316.0,-0.63,31244.0,10004958.4,2022,22.42,13.2,12.6,13.16
2022-06-19,320.0,320.0,309.0,310.0,-1.9,21747.0,6750786.9,2022,22.42,13.2,12.6,13.16
2022-06-20,309.0,309.9,304.0,306.0,-1.29,45892.0,14048955.0,2022,22.42,13.2,12.6,13.16
2022-06-21,309.0,323.3,305.0,323.3,5.65,39395.0,12249030.4,2022,22.42,13.2,12.6,13.16
2022-06-22,320.0,323.0,309.2,309.7,-4.21,36827.0,11483008.5,2022,22.42,13.2,12.6,13.16
2022-06-23,303.6,312.0,299.0,310.0,0.1,70234.0,21288720.6,2022,22.42,13.2,12.6,13.16
