date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,373.0,373.0,362.6,370.0,1.09,683.0,249972.2,2022,9.84,32.4,8.14,8.42
2022-01-03,370.0,370.0,363.0,368.9,-0.3,1273.0,464945.9,2022,9.84,32.4,8.14,8.42
2022-01-04,363.1,375.0,363.0,375.0,1.65,5088.0,1889832.4,2022,9.84,32.4,8.14,8.42
2022-01-05,369.0,370.0,361.0,368.0,-1.87,6620.0,2402363.0,2022,9.84,32.4,8.14,8.42
2022-01-06,363.0,375.0,360.8,370.0,0.54,8992.0,3273371.8,2022,9.84,32.4,8.14,8.42
2022-01-09,376.9,376.9,365.0,374.0,1.08,5513.0,2040799.5,2022,9.84,32.4,8.14,8.42
2022-01-10,374.0,374.0,367.0,373.0,-0.27,7286.0,2697497.7,2022,9.84,32.4,8.14,8.42
2022-01-11,370.0,397.8,370.0,390.0,4.56,23876.0,9207707.7,2022,9.84,32.4,8.14,8.42
2022-01-12,382.2,394.0,371.0,372.5,-4.49,6550.0,2503026.0,2022,9.84,32.4,8.14,8.42
2022-01-13,375.0,400.0,372.5,378.0,1.48,5578.0,2106372.1,2022,9.84,32.4,8.14,8.42
2022-01-16,385.0,398.0,382.0,392.0,3.7,15175.0,5912879.3,2022,9.84,32.4,8.14,8.42
2022-01-17,388.0,399.8,382.0,387.0,-1.28,7909.0,3079100.8,2022,9.84,32.4,8.14,8.42
2022-01-18,381.0,409.5,381.0,394.0,1.81,24960.0,9875875.0,2022,9.84,32.4,8.14,8.42
2022-01-19,396.0,396.0,382.2,385.0,-2.28,2871.0,1107425.2,2022,9.84,32.4,8.14,8.42
2022-01-20,377.3,392.0,371.0,387.0,0.52,3409.0,1312969.0,2022,9.84,32.4,8.14,8.42
2022-01-23,391.0,393.0,375.0,384.0,-0.78,3440.0,1311033.0,2022,9.84,32.4,8.14,8.42
2022-01-24,376.5,376.5,365.0,367.0,-4.43,12731.0,4699228.0,2022,9.84,32.4,8.14,8.42
2022-01-25,374.0,378.8,364.6,372.0,1.36,5768.0,2124983.0,2022,9.84,32.4,8.14,8.42
2022-01-26,365.8,372.0,360.0,372.0,0.0,11010.0,4014023.4,2022,9.84,32.4,8.14,8.42
2022-01-27,365.0,372.0,365.0,365.5,-1.75,1835.0,674273.5,2022,9.84,32.4,8.14,8.42
2022-01-30,372.8,379.0,370.1,379.0,3.69,6788.0,2545852.6,2022,9.84,32.4,8.14,8.42
2022-01-31,386.0,386.0,366.0,376.1,-0.77,6685.0,2476467.0,2022,9.84,32.4,8.14,8.42
2022-02-01,373.0,378.0,372.0,375.0,-0.29,2901.0,1088895.1,2022,9.84,32.4,8.14,8.42
2022-02-03,380.4,382.0,371.0,374.0,-0.27,11828.0,4440138.6,2022,9.84,32.4,8.14,8.42
2022-02-06,374.0,375.9,370.0,370.7,-0.88,7425.0,2759861.4,2022,9.84,32.4,8.14,8.42
2022-02-07,373.0,383.0,372.0,379.8,2.45,6058.0,2289289.5,2022,9.84,32.4,8.14,8.42
2022-02-08,387.3,387.3,377.0,382.8,0.79,13927.0,5296761.4,2022,9.84,32.4,8.14,8.42
2022-02-09,382.0,382.0,374.0,379.8,-0.78,4477.0,1684092.0,2022,9.84,32.4,8.14,8.42
2022-02-10,372.4,380.0,372.4,379.0,-0.21,4885.0,1833828.0,2022,9.84,32.4,8.14,8.42
2022-02-13,371.5,371.5,362.1,365.0,-3.69,9459.0,3450304.0,2022,9.84,32.4,8.14,8.42
2022-02-14,360.5,364.0,360.0,363.0,-0.55,10180.0,3680336.0,2022,9.84,32.4,8.14,8.42
2022-02-15,360.1,372.0,359.0,372.0,2.48,4440.0,1613821.0,2022,9.84,32.4,8.14,8.42
2022-02-16,364.6,370.2,361.0,370.0,-0.54,2789.0,1024634.0,2022,9.84,32.4,8.14,8.42
2022-02-17,368.0,371.0,368.0,370.0,0.0,1310.0,483120.0,2022,9.84,32.4,8.14,8.42
2022-02-20,365.0,365.0,357.5,360.0,-2.7,3844.0,1381302.2,2022,9.84,32.4,8.14,8.42
2022-02-21,366.5,366.5,359.2,365.0,1.39,345.0,125430.0,2022,9.84,32.4,8.14,8.42
2022-02-22,360.0,369.0,358.0,360.0,-1.37,10924.0,3943920.0,2022,9.84,32.4,8.14,8.42
2022-02-23,367.2,381.0,353.1,362.0,0.56,1258.0,457947.0,2022,9.84,32.4,8.14,8.42
2022-02-24,369.2,384.0,355.0,355.0,-1.93,5279.0,1887486.0,2022,9.84,32.4,8.14,8.42
