date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,434.5,444.0,425.9,442.0,2.84,171026.0,74745539.9,2022,8.35,45.1,7.21,8.42
2022-01-03,447.0,448.0,435.0,435.0,-1.58,125498.0,55311521.0,2022,8.35,45.1,7.21,8.42
2022-01-04,430.0,448.0,430.0,445.0,2.3,157611.0,69786523.0,2022,8.35,45.1,7.21,8.42
2022-01-05,447.0,462.0,439.0,450.0,1.12,245379.0,110719148.5,2022,8.35,45.1,7.21,8.42
2022-01-06,451.0,463.0,435.1,458.1,1.8,191377.0,87278017.4,2022,8.35,45.1,7.21,8.42
2022-01-09,465.0,491.0,465.0,488.0,6.53,388427.0,187505428.4,2022,8.35,45.1,7.21,8.42
2022-01-10,497.7,500.0,476.1,485.0,-0.61,295079.0,144320106.8,2022,8.35,45.1,7.21,8.42
2022-01-11,485.0,496.0,481.0,490.0,1.03,212925.0,104010097.7,2022,8.35,45.1,7.21,8.42
2022-01-12,490.0,504.0,478.0,483.0,-1.43,309308.0,151569912.9,2022,8.35,45.1,7.21,8.42
2022-01-13,483.0,508.0,480.2,501.0,3.73,273609.0,136175644.4,2022,8.35,45.1,7.21,8.42
2022-01-16,511.0,544.0,510.1,539.5,7.68,686411.0,364317531.7,2022,8.35,45.1,7.21,8.42
2022-01-17,550.0,573.2,532.0,571.3,5.89,799204.0,445494479.2,2022,8.35,45.1,7.21,8.42
2022-01-18,582.7,582.7,545.0,560.0,-1.98,457209.0,257142421.2,2022,8.35,45.1,7.21,8.42
2022-01-19,550.0,559.9,540.0,542.0,-3.21,367013.0,200739654.5,2022,8.35,45.1,7.21,8.42
2022-01-20,551.4,555.0,535.1,550.0,1.48,294440.0,161090168.8,2022,8.35,45.1,7.21,8.42
2022-01-23,552.0,559.8,534.0,543.0,-1.27,276348.0,150477115.6,2022,8.35,45.1,7.21,8.42
2022-01-24,533.5,537.0,506.0,514.0,-5.34,587492.0,304966895.7,2022,8.35,45.1,7.21,8.42
2022-01-25,520.0,528.0,501.2,508.0,-1.17,206565.0,106380267.3,2022,8.35,45.1,7.21,8.42
2022-01-26,518.0,518.0,491.0,499.0,-1.77,270788.0,135567136.1,2022,8.35,45.1,7.21,8.42
2022-01-27,507.0,507.0,495.0,499.9,0.18,167638.0,83771017.2,2022,8.35,45.1,7.21,8.42
2022-01-30,509.8,545.0,509.8,545.0,9.02,412650.0,219636501.1,2022,8.35,45.1,7.21,8.42
2022-01-31,555.0,555.0,534.0,534.0,-2.02,338727.0,182626713.1,2022,8.35,45.1,7.21,8.42
2022-02-01,544.6,566.0,530.0,563.0,5.43,671287.0,371445566.2,2022,8.35,45.1,7.21,8.42
2022-02-03,574.0,610.0,574.0,593.0,5.33,1384721.0,827035336.5,2022,8.35,45.1,7.21,8.42
2022-02-06,604.8,628.3,593.0,599.0,1.01,900863.0,544993283.3,2022,8.35,45.1,7.21,8.42
2022-02-07,600.0,601.0,585.0,590.5,-1.42,425281.0,251664732.8,2022,8.35,45.1,7.21,8.42
2022-02-08,602.0,610.0,571.0,574.0,-2.79,611755.0,358512432.9,2022,8.35,45.1,7.21,8.42
2022-02-09,571.0,581.0,564.1,573.0,-0.17,325928.0,186169765.3,2022,8.35,45.1,7.21,8.42
2022-02-10,584.4,584.4,568.0,575.0,0.35,283093.0,162638954.7,2022,8.35,45.1,7.21,8.42
2022-02-13,563.5,563.5,542.1,543.0,-5.57,517407.0,283945082.0,2022,8.35,45.1,7.21,8.42
2022-02-14,550.0,560.0,538.0,541.0,-0.37,278738.0,152376125.8,2022,8.35,45.1,7.21,8.42
2022-02-15,551.8,574.0,542.0,573.0,5.91,243819.0,135339637.8,2022,8.35,45.1,7.21,8.42
2022-02-16,569.0,573.0,550.2,556.0,-2.97,286885.0,160871011.6,2022,8.35,45.1,7.21,8.42
2022-02-17,552.0,560.7,546.0,552.0,-0.72,144692.0,80006210.8,2022,8.35,45.1,7.21,8.42
2022-02-20,541.0,555.0,530.0,541.0,-1.99,314734.0,171267901.6,2022,8.35,45.1,7.21,8.42
2022-02-21,545.0,552.9,540.0,550.0,1.66,186119.0,101822762.8,2022,8.35,45.1,7.21,8.42
2022-02-22,539.0,566.0,539.0,556.0,1.09,228726.0,127819649.6,2022,8.35,45.1,7.21,8.42
2022-02-23,552.0,558.9,547.3,548.0,-1.44,135015.0,74677430.1,2022,8.35,45.1,7.21,8.42
2022-02-24,543.1,548.0,530.0,532.0,-2.92,241993.0,129743943.5,2022,8.35,45.1,7.21,8.42
2022-02-27,542.6,550.0,531.0,543.4,2.14,187615.0,101928478.4,2022,8.35,45.1,7.21,8.42
2022-02-28,554.2,565.0,520.0,524.0,-3.57,279518.0,149452467.6,2022,8.35,45.1,7.21,8.42
2022-03-02,534.4,534.4,499.0,500.2,-4.54,278936.0,141914211.8,2022,8.35,45.1,7.21,8.42
2022-03-06,500.0,514.0,490.1,495.0,-1.04,133427.0,66614293.3,2022,8.35,45.1,7.21,8.42
2022-03-07,485.1,503.0,485.1,494.0,-0.2,114869.0,56889783.2,2022,8.35,45.1,7.21,8.42
2022-03-09,500.0,501.0,472.0,477.0,-3.44,196009.0,93861908.2,2022,8.35,45.1,7.21,8.42
