date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,450.0,473.0,445.0,467.0,4.94,377918.0,173704300.3,2022,3.67,66.62,4.02,0.0
2022-01-03,476.3,479.0,460.6,469.0,0.43,390115.0,182993656.3,2022,3.67,66.62,4.02,0.0
2022-01-04,472.0,478.3,461.1,475.0,1.28,234910.0,110768125.8,2022,3.67,66.62,4.02,0.0
2022-01-05,480.0,485.0,467.0,477.0,0.42,350463.0,167408741.6,2022,3.67,66.62,4.02,0.0
2022-01-06,477.0,491.5,468.0,491.0,2.94,337718.0,163706668.5,2022,3.67,66.62,4.02,0.0
2022-01-09,500.0,520.0,496.0,516.1,5.11,570449.0,290022273.7,2022,3.67,66.62,4.02,0.0
2022-01-10,526.4,526.4,502.0,506.0,-1.96,375628.0,192814697.6,2022,3.67,66.62,4.02,0.0
2022-01-11,506.0,518.0,503.0,510.9,0.97,329975.0,168322695.5,2022,3.67,66.62,4.02,0.0
2022-01-12,521.0,526.0,505.0,510.0,-0.18,479364.0,247001702.1,2022,3.67,66.62,4.02,0.0
2022-01-13,511.0,530.0,505.0,526.0,3.14,445951.0,232330970.0,2022,3.67,66.62,4.02,0.0
2022-01-16,536.5,542.0,525.0,535.0,1.71,568473.0,304445151.4,2022,3.67,66.62,4.02,0.0
2022-01-17,545.7,560.9,528.0,556.0,3.93,749417.0,410115808.9,2022,3.67,66.62,4.02,0.0
2022-01-18,567.0,567.0,541.2,554.0,-0.36,505764.0,281139131.7,2022,3.67,66.62,4.02,0.0
2022-01-19,555.0,563.0,540.0,544.0,-1.81,370597.0,203221297.4,2022,3.67,66.62,4.02,0.0
2022-01-20,544.0,552.0,535.1,550.0,1.1,338157.0,184724976.6,2022,3.67,66.62,4.02,0.0
2022-01-23,555.0,561.0,540.1,543.0,-1.27,346555.0,190178881.8,2022,3.67,66.62,4.02,0.0
2022-01-24,540.0,543.0,517.0,523.0,-3.68,726575.0,383424152.0,2022,3.67,66.62,4.02,0.0
2022-01-25,520.0,532.9,512.2,520.0,-0.57,436548.0,228255617.9,2022,3.67,66.62,4.02,0.0
2022-01-26,530.4,530.4,506.0,512.0,-1.54,326513.0,167757434.2,2022,3.67,66.62,4.02,0.0
2022-01-27,522.2,522.2,511.0,517.0,0.98,216970.0,111781948.4,2022,3.67,66.62,4.02,0.0
2022-01-30,527.3,547.0,527.3,546.0,5.61,485814.0,261516134.9,2022,3.67,66.62,4.02,0.0
