date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,461.0,469.0,456.0,458.0,-0.87,15252.0,7020664.5,2022,12.18,38.5,11.45,0.0
2022-01-03,451.0,467.0,451.0,462.0,0.87,12098.0,5579628.9,2022,12.18,38.5,11.45,0.0
2022-01-04,462.0,470.0,460.0,470.0,1.73,14119.0,6565768.4,2022,12.18,38.5,11.45,0.0
2022-01-05,470.0,487.0,462.1,471.0,0.21,17100.0,8076458.5,2022,12.18,38.5,11.45,0.0
2022-01-06,474.9,474.9,463.0,469.0,-0.42,9536.0,4481706.0,2022,12.18,38.5,11.45,0.0
2022-01-09,478.0,493.0,474.0,492.0,4.9,35433.0,17287983.2,2022,12.18,38.5,11.45,0.0
2022-01-10,501.8,510.0,486.0,492.0,0.0,30242.0,15089549.5,2022,12.18,38.5,11.45,0.0
2022-01-11,484.0,510.0,484.0,500.0,1.63,27009.0,13572568.0,2022,12.18,38.5,11.45,0.0
2022-01-12,509.8,515.0,488.3,490.0,-2.0,37114.0,18669643.8,2022,12.18,38.5,11.45,0.0
2022-01-13,499.8,516.0,490.0,515.4,5.18,44601.0,22611412.0,2022,12.18,38.5,11.45,0.0
2022-01-16,517.0,545.0,517.0,531.9,3.2,49183.0,26256625.8,2022,12.18,38.5,11.45,0.0
2022-01-17,535.0,539.0,516.2,537.0,0.96,36234.0,19195156.5,2022,12.18,38.5,11.45,0.0
2022-01-18,547.7,580.0,540.0,562.0,4.66,162615.0,91660285.7,2022,12.18,38.5,11.45,0.0
2022-01-19,573.0,586.0,557.0,575.0,2.31,81266.0,46438815.8,2022,12.18,38.5,11.45,0.0
2022-01-20,565.0,580.0,560.0,577.0,0.35,45008.0,25631547.1,2022,12.18,38.5,11.45,0.0
2022-01-23,588.5,595.0,560.2,573.0,-0.69,75996.0,44035903.1,2022,12.18,38.5,11.45,0.0
2022-01-24,573.0,573.0,530.0,539.0,-5.93,70677.0,38469207.2,2022,12.18,38.5,11.45,0.0
2022-01-25,535.0,560.0,525.1,538.0,-0.19,29487.0,15809378.2,2022,12.18,38.5,11.45,0.0
2022-01-26,530.1,541.0,516.0,520.6,-3.23,32583.0,17044916.8,2022,12.18,38.5,11.45,0.0
2022-01-27,525.0,535.0,515.0,525.0,0.85,16225.0,8475312.1,2022,12.18,38.5,11.45,0.0
2022-01-30,535.5,558.0,535.5,558.0,6.29,36038.0,19753365.2,2022,12.18,38.5,11.45,0.0
2022-01-31,547.0,565.0,543.0,545.0,-2.33,19003.0,10462802.0,2022,12.18,38.5,11.45,0.0
2022-02-01,545.5,565.0,540.0,565.0,3.67,47894.0,26636254.6,2022,12.18,38.5,11.45,0.0
2022-02-03,575.0,577.0,555.0,555.0,-1.77,42189.0,23936517.4,2022,12.18,38.5,11.45,0.0
2022-02-06,545.0,552.0,538.0,538.0,-3.06,27907.0,15157817.2,2022,12.18,38.5,11.45,0.0
2022-02-07,538.0,555.0,534.1,547.3,1.73,23690.0,13001773.7,2022,12.18,38.5,11.45,0.0
2022-02-08,558.2,578.0,536.0,543.0,-0.79,24398.0,13464830.3,2022,12.18,38.5,11.45,0.0
2022-02-09,532.3,540.0,530.0,536.5,-1.2,12511.0,6681008.8,2022,12.18,38.5,11.45,0.0
2022-02-10,545.0,546.0,527.0,529.0,-1.4,10106.0,5355565.0,2022,12.18,38.5,11.45,0.0
2022-02-13,530.0,530.0,502.0,505.0,-4.54,30708.0,15607257.5,2022,12.18,38.5,11.45,0.0
2022-02-14,505.0,520.0,504.7,516.0,2.18,15692.0,8074123.0,2022,12.18,38.5,11.45,0.0
2022-02-15,516.0,540.0,510.1,540.0,4.65,9949.0,5214220.1,2022,12.18,38.5,11.45,0.0
2022-02-16,540.0,540.0,521.0,521.2,-3.48,15561.0,8217770.4,2022,12.18,38.5,11.45,0.0
2022-02-17,530.0,530.0,512.0,516.0,-1.0,7869.0,4127772.2,2022,12.18,38.5,11.45,0.0
2022-02-20,506.0,528.0,505.0,513.6,-0.47,26362.0,13602365.8,2022,12.18,38.5,11.45,0.0
2022-02-21,517.0,550.0,513.0,532.0,3.58,39279.0,20907853.2,2022,12.18,38.5,11.45,0.0
2022-02-22,542.0,568.0,539.0,560.9,5.43,93944.0,52496520.1,2022,12.18,38.5,11.45,0.0
2022-02-23,569.0,579.9,539.0,565.0,0.73,146578.0,83177172.7,2022,12.18,38.5,11.45,0.0
2022-02-24,576.0,576.0,541.0,549.0,-2.83,52310.0,28910937.8,2022,12.18,38.5,11.45,0.0
2022-02-27,555.0,568.0,544.0,563.0,2.55,43563.0,24318364.8,2022,12.18,38.5,11.45,0.0
2022-02-28,570.0,574.0,529.2,539.0,-4.26,50673.0,27842981.6,2022,12.18,38.5,11.45,0.0
2022-03-02,528.3,532.0,513.0,513.9,-4.66,38958.0,20276988.4,2022,12.18,38.5,11.45,0.0
2022-03-06,520.0,524.0,505.0,512.0,-0.37,22895.0,11750133.0,2022,12.18,38.5,11.45,0.0
2022-03-07,520.0,525.0,486.2,492.0,-3.91,39371.0,19729755.4,2022,12.18,38.5,11.45,0.0
2022-03-09,499.0,499.0,469.0,487.2,-0.98,23699.0,11363186.0,2022,12.18,38.5,11.45,0.0
2022-03-10,496.0,515.0,478.0,509.0,4.47,35102.0,17407287.7,2022,12.18,38.5,11.45,0.0
2022-03-13,516.0,527.0,512.0,521.0,2.36,25313.0,13187773.5,2022,12.18,38.5,11.45,0.0
2022-03-14,528.0,528.0,512.1,517.0,-0.77,8336.0,4316901.3,2022,12.18,38.5,11.45,0.0
2022-03-15,526.0,526.0,505.0,508.0,-1.74,12310.0,6299051.2,2022,12.18,38.5,11.45,0.0
2022-03-16,507.0,517.0,496.1,499.0,-1.77,18874.0,9461094.8,2022,12.18,38.5,11.45,0.0
2022-03-20,500.0,503.0,490.1,498.0,-0.2,9445.0,4688765.5,2022,12.18,38.5,11.45,0.0
2022-03-21,490.0,517.0,489.0,517.0,3.82,23144.0,11742386.5,2022,12.18,38.5,11.45,0.0
2022-03-22,526.0,530.0,515.0,518.9,0.37,12317.0,6439122.9,2022,12.18,38.5,11.45,0.0
2022-03-23,512.1,515.0,508.0,508.7,-1.97,4998.0,2549560.4,2022,12.18,38.5,11.45,0.0
2022-03-24,508.0,512.0,495.0,504.0,-0.92,17933.0,8975145.6,2022,12.18,38.5,11.45,0.0
2022-03-27,500.0,503.0,481.1,485.0,-3.77,22513.0,11021257.8,2022,12.18,38.5,11.45,0.0
2022-03-28,485.0,494.0,475.1,475.1,-2.04,8703.0,4184767.3,2022,12.18,38.5,11.45,0.0
2022-03-29,478.5,484.0,470.1,475.0,-0.02,10545.0,5001847.0,2022,12.18,38.5,11.45,0.0
2022-03-30,468.0,481.0,457.0,481.0,1.26,30595.0,14448818.7,2022,12.18,38.5,11.45,0.0
2022-03-31,481.0,483.0,463.0,464.0,-3.53,14619.0,6888729.9,2022,12.18,38.5,11.45,0.0
2022-04-03,461.0,465.0,455.0,460.0,-0.86,7033.0,3227165.0,2022,12.18,38.5,11.45,0.0
2022-04-04,460.0,460.0,450.0,450.9,-1.98,14635.0,6623151.0,2022,12.18,38.5,11.45,0.0
2022-04-05,445.1,445.1,430.0,439.0,-2.64,16168.0,7044762.2,2022,12.18,38.5,11.45,0.0
2022-04-06,439.0,439.0,422.0,426.0,-2.96,13024.0,5573084.4,2022,12.18,38.5,11.45,0.0
2022-04-07,432.0,441.0,427.0,427.0,0.23,20171.0,8720422.5,2022,12.18,38.5,11.45,0.0
2022-04-11,435.5,444.2,417.0,417.0,-2.34,12699.0,5498477.0,2022,12.18,38.5,11.45,0.0
