date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend,net-margin,pb-ratio,debt-equity
2023-01-01,238.0,260.0,238.0,247.5,3.99,30723.0,7661870.9,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-02,243.0,260.1,240.0,260.0,5.05,30548.0,7724791.4,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-03,263.0,267.0,253.0,254.0,-2.31,18165.0,4658482.0,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-04,250.0,272.0,250.0,268.0,5.51,19898.0,5278879.5,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-05,273.3,281.0,263.0,274.9,2.57,15850.0,4303330.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-08,269.5,290.0,269.5,282.0,2.58,42042.0,11779223.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-09,285.1,310.2,285.0,310.2,10.0,46460.0,14063775.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-10,313.0,339.0,300.9,309.0,-0.39,59716.0,19216492.9,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-12,312.0,315.1,279.0,293.0,-5.18,64989.0,19334690.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-17,290.0,309.0,281.5,307.0,4.78,28177.0,8450438.8,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-18,312.0,323.0,302.0,302.0,-1.63,29102.0,9037020.8,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-19,297.1,320.0,291.2,313.0,3.64,34701.0,10717098.4,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-23,319.0,319.0,298.0,301.0,-3.83,14125.0,4325717.1,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-24,299.0,319.0,291.1,303.0,0.66,12753.0,3827873.2,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-25,300.0,327.4,300.0,317.0,4.62,69365.0,22197861.1,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-26,323.0,337.9,323.0,330.0,4.1,48772.0,16185069.7,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-29,328.0,331.0,322.0,323.0,-2.12,25825.0,8392779.8,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-30,317.0,328.0,305.8,310.0,-4.02,46706.0,14851718.2,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-01-31,306.0,323.0,295.0,312.0,0.65,58192.0,18176230.7,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-01,318.0,324.0,315.7,319.9,2.53,31353.0,10028009.8,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-02,320.0,324.0,311.0,317.0,-0.91,14817.0,4705636.9,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-05,316.0,320.0,311.1,318.0,0.32,17256.0,5441963.9,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-06,315.3,320.0,314.4,320.0,0.63,32791.0,10397331.8,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-07,320.0,335.0,320.0,335.0,4.69,60736.0,20103609.7,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-08,341.0,341.0,323.4,329.0,-1.79,66046.0,21839534.5,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-09,330.0,336.0,326.0,336.0,2.13,44382.0,14680759.4,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-12,329.3,335.0,320.0,327.0,-2.68,46781.0,15307930.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-14,325.0,345.0,325.0,336.0,2.75,44826.0,15048473.2,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-15,339.0,345.0,328.0,333.5,-0.74,40557.0,13634166.0,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-16,332.0,341.7,332.0,336.0,0.75,47466.0,16000902.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-20,330.1,336.0,330.0,335.9,-0.03,21460.0,7151394.9,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-22,336.0,369.4,336.0,368.0,9.56,60535.0,21260158.5,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-23,368.0,370.0,349.7,354.9,-3.56,61612.0,21928657.8,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-26,354.0,369.9,337.3,369.0,3.97,76669.0,26969918.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-27,370.0,370.0,340.1,352.0,-4.61,69897.0,24634671.4,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-02-28,350.1,355.9,346.2,346.2,-1.65,19126.0,6717063.0,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-03-01,348.0,348.0,336.0,337.0,-2.66,21277.0,7243085.2,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-03-02,331.2,338.0,328.5,328.5,-2.52,17364.0,5778058.9,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-03-05,328.0,328.0,315.0,315.0,-4.11,16815.0,5353147.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-03-07,321.0,328.0,317.6,321.0,1.9,8390.0,2697097.3,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-03-09,322.0,339.6,322.0,338.0,5.3,20376.0,6782296.6,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-03-12,340.0,343.0,330.3,330.3,-2.28,26502.0,8896167.4,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-03-13,336.9,336.9,325.0,325.0,-1.6,10297.0,3389469.1,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
2023-03-14,323.2,333.0,319.0,324.5,-0.15,11997.0,3894004.0,2023,-4.5,0.0,-7.2,0.0,-44.0,3.5,2.9
