date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,3132.4,3250.0,3071.0,3200.0,4.2,20266.0,63813715.0,2022,20.3,125.4,8.87,26.43
2022-01-03,3264.0,3339.0,3201.0,3309.9,3.43,27395.0,89981897.5,2022,20.3,125.4,8.87,26.43
2022-01-04,3350.0,3365.0,3261.0,3330.0,0.61,8107.0,26956757.7,2022,20.3,125.4,8.87,26.43
2022-01-05,3350.0,3350.0,3241.0,3241.9,-2.65,17466.0,57260992.4,2022,20.3,125.4,8.87,26.43
2022-01-06,3231.0,3375.0,3190.0,3345.0,3.18,25808.0,85522003.8,2022,20.3,125.4,8.87,26.43
2022-01-09,3355.0,3419.9,3345.0,3409.0,1.91,25708.0,87206675.0,2022,20.3,125.4,8.87,26.43
2022-01-10,3440.0,3449.9,3360.0,3376.0,-0.97,17311.0,58679808.1,2022,20.3,125.4,8.87,26.43
2022-01-11,3380.0,3419.0,3350.0,3400.0,0.71,18773.0,63775819.0,2022,20.3,125.4,8.87,26.43
2022-01-12,3400.0,3468.0,3364.0,3380.0,-0.59,17349.0,59393422.2,2022,20.3,125.4,8.87,26.43
2022-01-13,3410.0,3438.0,3371.0,3424.0,1.3,13180.0,44981748.8,2022,20.3,125.4,8.87,26.43
2022-01-16,3492.4,3599.0,3450.1,3569.0,4.23,31213.0,110278116.5,2022,20.3,125.4,8.87,26.43
2022-01-17,3608.7,3646.0,3523.0,3575.0,0.17,18245.0,65455811.5,2022,20.3,125.4,8.87,26.43
2022-01-18,3512.0,3639.9,3485.1,3510.0,-1.82,16017.0,56800679.1,2022,20.3,125.4,8.87,26.43
2022-01-19,3511.0,3524.0,3453.6,3470.2,-1.13,13923.0,48507785.5,2022,20.3,125.4,8.87,26.43
2022-01-20,3451.0,3520.0,3431.0,3495.0,0.71,12201.0,42477280.1,2022,20.3,125.4,8.87,26.43
2022-01-23,3555.0,3555.0,3458.0,3470.0,-0.72,12375.0,43325484.1,2022,20.3,125.4,8.87,26.43
2022-01-24,3451.0,3455.1,3364.0,3380.0,-2.59,20821.0,70877640.6,2022,20.3,125.4,8.87,26.43
2022-01-25,3380.0,3415.0,3260.0,3380.0,0.0,18889.0,63574937.9,2022,20.3,125.4,8.87,26.43
2022-01-26,3320.0,3390.0,3300.0,3306.0,-2.19,10639.0,35438955.9,2022,20.3,125.4,8.87,26.43
2022-01-27,3355.0,3359.0,3309.0,3310.8,0.15,11365.0,37837543.0,2022,20.3,125.4,8.87,26.43
2022-01-30,3377.0,3451.0,3377.0,3439.0,3.87,12223.0,41763602.9,2022,20.3,125.4,8.87,26.43
2022-01-31,3400.1,3465.0,3395.0,3398.0,-1.19,9698.0,33129210.8,2022,20.3,125.4,8.87,26.43
2022-02-01,3360.0,3435.0,3353.0,3416.0,0.53,5619.0,19172253.5,2022,20.3,125.4,8.87,26.43
2022-02-03,3484.0,3484.0,3400.0,3410.0,-0.18,13731.0,47160274.5,2022,20.3,125.4,8.87,26.43
2022-02-06,3390.0,3415.0,3355.0,3365.0,-1.32,6812.0,22967867.8,2022,20.3,125.4,8.87,26.43
2022-02-07,3298.0,3400.0,3298.0,3350.2,-0.44,5449.0,18322884.3,2022,20.3,125.4,8.87,26.43
2022-02-08,3417.2,3430.0,3323.0,3335.0,-0.45,7109.0,23937712.0,2022,20.3,125.4,8.87,26.43
2022-02-09,3306.1,3375.0,3278.0,3333.0,-0.06,10655.0,35150651.9,2022,20.3,125.4,8.87,26.43
2022-02-10,3280.0,3370.0,3280.0,3319.9,-0.39,5783.0,19162691.6,2022,20.3,125.4,8.87,26.43
2022-02-13,3255.0,3255.0,3189.0,3200.0,-3.61,15370.0,49459192.1,2022,20.3,125.4,8.87,26.43
2022-02-14,3200.0,3245.0,3182.0,3210.0,0.31,14012.0,44848416.8,2022,20.3,125.4,8.87,26.43
2022-02-15,3205.0,3249.9,3195.1,3235.0,0.78,5393.0,17378254.6,2022,20.3,125.4,8.87,26.43
2022-02-16,3235.0,3269.0,3205.0,3207.0,-0.87,5191.0,16752337.6,2022,20.3,125.4,8.87,26.43
2022-02-17,3220.0,3245.0,3207.0,3220.0,0.41,3007.0,9678176.0,2022,20.3,125.4,8.87,26.43
2022-02-20,3157.0,3213.0,3092.9,3150.0,-2.17,6688.0,21164028.0,2022,20.3,125.4,8.87,26.43
2022-02-21,3150.0,3190.0,3150.0,3190.0,1.27,4273.0,13548470.2,2022,20.3,125.4,8.87,26.43
