<<<<<<< HEAD
date,open,high,low,close,price_change_pct,volume,turnover,year,eps_x,pe-ratio_x,roe_x,dividend_x,eps_y,pe-ratio_y,roe_y,dividend_y,net-margin,pb-ratio,debt-equity
2023-01-01,362.1,367.0,346.0,352.0,-0.85,45037,16049405.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-02,349.9,364.0,345.0,361.0,2.56,29372,10510703.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-03,358.1,366.0,351.9,354.0,-1.94,42901,15417468.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-04,352.0,373.0,352.0,370.0,4.52,39269,14291105.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-05,377.0,378.0,364.0,366.0,-1.08,69767,25683276.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-08,366.0,380.3,363.0,372.0,1.64,46820,17486132.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-09,372.0,387.0,366.0,383.0,2.96,69855,26631134.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-10,390.0,400.0,371.1,375.0,-2.09,139124,53935938.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-12,381.0,392.0,368.0,368.0,-1.87,89875,34126588.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-17,371.5,383.0,367.0,380.0,3.26,47590,17941472.7,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-18,386.0,394.7,372.6,386.0,1.58,49457,19075701.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-19,381.0,390.0,381.0,385.0,-0.26,29500,11376398.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-23,386.0,388.0,375.2,377.0,-2.08,29987,11455660.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-24,375.0,384.0,365.0,382.0,1.33,36771,13701998.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-25,382.0,388.0,376.0,381.8,-0.05,20709,7938783.8,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-26,380.0,382.0,373.0,373.0,-2.3,16564,6239870.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-29,373.0,377.0,365.7,368.2,-1.29,30204,11217682.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-30,368.0,370.0,359.0,359.0,-2.5,37975,13797351.4,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-01-31,356.0,365.0,355.1,360.0,0.28,32609,11735516.4,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-01,365.0,365.8,359.0,362.7,0.75,15991,5801097.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-02,368.9,368.9,357.0,358.0,-1.3,15050,5414825.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-05,357.0,365.1,357.0,360.0,0.56,18883,6810571.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-06,355.1,362.0,355.1,360.5,0.14,15000,5384322.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-07,358.2,377.0,358.2,377.0,4.58,49053,18248229.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-08,381.0,387.0,373.0,375.0,-0.53,64664,24597774.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-09,379.0,385.0,373.0,383.9,2.37,31448,11858465.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-12,380.0,380.0,367.0,368.0,-4.14,44249,16412584.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-14,365.0,371.0,363.2,365.6,-0.65,18929,6921711.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-15,369.9,372.0,364.1,365.0,-0.16,15420,5645504.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-16,370.0,370.0,359.7,361.8,-0.88,30644,11156759.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-20,360.0,362.0,356.0,356.6,-1.44,14695,5260641.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-22,363.0,367.0,361.1,363.0,1.79,14738,5355337.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-23,362.5,365.0,356.0,364.0,0.28,27727,9987418.7,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-26,356.8,366.0,349.8,364.9,0.25,47117,16852292.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-27,372.0,372.0,359.2,367.0,0.58,16484,5967966.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-02-28,369.0,369.0,362.0,364.0,-0.82,15933,5796580.4,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-01,364.0,364.0,352.8,358.0,-1.65,12805,4582131.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-02,356.0,359.0,353.1,358.0,0.0,18980,6763345.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-05,358.0,359.0,348.1,348.1,-2.77,23632,8284769.7,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-07,355.0,358.0,350.0,350.0,0.55,17182,6067463.8,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-09,351.0,361.0,351.0,360.0,2.86,14069,5028238.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-12,367.0,372.0,355.0,357.0,-0.83,17417,6279001.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-13,350.0,360.0,349.9,354.0,-0.84,11965,4230149.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-14,361.0,361.0,354.0,356.0,0.56,28018,9950392.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-15,362.0,362.0,350.0,353.0,-0.84,19875,7016501.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-16,347.0,355.0,347.0,354.8,0.51,11745,4134020.8,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-19,361.8,361.8,353.0,355.0,0.06,11901,4226692.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-20,355.0,362.0,355.0,362.0,1.97,4998,1798506.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-22,362.0,363.0,357.0,357.1,-1.35,8413,3028887.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-23,355.0,359.0,355.0,356.0,-0.31,6922,2468649.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-26,356.0,356.0,351.0,353.1,-0.81,10537,3722752.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-27,349.0,364.5,348.2,360.0,1.95,35577,12584744.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-28,360.0,363.0,355.1,355.1,-1.36,11069,3984326.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-29,359.8,359.8,355.1,357.0,0.54,6252,2229559.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-03-30,358.0,360.9,353.0,354.9,-0.59,8821,3137966.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-02,359.0,359.0,353.1,354.0,-0.25,15007,5326743.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-03,350.1,354.0,350.0,353.8,-0.06,12567,4425491.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-04,349.5,360.0,349.0,355.0,0.34,12434,4408812.4,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-05,351.0,356.0,350.1,354.9,-0.03,6582,2325878.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-06,354.0,357.8,348.0,349.0,-1.66,19052,6707058.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-09,343.0,347.9,342.1,344.5,-1.29,10277,3539079.7,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-10,350.0,351.0,346.0,348.0,1.02,8110,2832009.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-11,353.0,355.0,347.0,355.0,2.01,24937,8740781.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-12,355.1,370.0,355.1,370.0,4.23,29967,10951082.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-13,373.0,374.8,364.0,365.0,-1.35,29837,11020764.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-16,360.0,367.0,360.0,363.0,-0.55,6279,2275126.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-17,370.0,370.0,356.0,356.0,-1.93,10323,3712165.4,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-18,356.0,360.0,351.0,359.9,1.1,4842,1721350.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-19,360.0,364.9,350.9,361.2,0.36,11674,4169909.8,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-20,357.0,363.0,355.0,357.0,-1.16,8899,3203934.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-23,350.6,356.9,350.6,356.9,-0.03,7557,2673103.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-24,352.0,360.0,352.0,358.5,0.45,19841,7088099.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-25,352.2,367.0,352.2,367.0,2.37,16826,6055981.8,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-26,365.0,366.0,357.0,363.0,-1.09,14513,5242570.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-27,360.0,363.0,357.1,361.0,-0.55,7424,2680775.7,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-04-30,358.0,358.0,351.0,353.0,-2.22,15180,5367703.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-02,354.0,356.8,352.0,356.8,1.08,11436,4047143.4,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-03,354.0,359.0,352.0,353.0,-1.07,13369,4719965.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-04,353.0,356.0,347.0,355.0,0.57,18730,6567788.0,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-07,348.0,357.0,348.0,350.0,-1.41,10493,3673477.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-08,344.0,350.0,344.0,350.0,0.0,9986,3465064.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-09,350.1,355.0,348.0,350.1,0.03,9314,3279333.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-10,347.1,355.0,347.1,349.0,-0.31,12960,4553905.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-11,349.0,351.0,348.0,350.0,0.29,3821,1336647.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-14,352.0,352.0,336.0,342.0,-2.29,37567,12798629.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-15,345.0,345.0,338.0,340.0,-0.58,16897,5747818.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-16,338.0,345.0,337.0,340.5,0.15,8100,2756734.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-17,343.9,351.0,340.0,347.0,1.91,13005,4510284.7,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-18,353.0,356.9,347.0,352.0,1.44,20853,7356963.9,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-21,352.0,358.0,351.2,351.4,-0.17,13648,4820122.8,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-22,345.1,354.9,345.0,352.5,0.31,10116,3546018.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-23,356.0,360.8,353.0,360.0,2.13,27038,9694657.8,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-24,361.0,365.0,357.0,364.0,1.11,24581,8885944.7,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-28,363.2,368.0,353.3,354.0,-2.75,27672,10002235.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-30,353.0,353.0,347.0,349.5,-1.27,15665,5467398.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-05-31,344.1,350.9,341.0,343.8,-1.63,27115,9331784.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-01,344.0,347.0,340.0,345.0,0.35,24619,8466087.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-04,345.0,360.0,345.0,353.0,2.32,19752,6961052.3,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-05,355.1,356.9,346.1,349.1,-1.1,22085,7763628.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-06,350.0,355.0,346.0,352.0,0.83,15036,5281664.1,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-07,354.0,358.9,352.0,355.0,0.85,23814,8434359.5,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-08,358.9,359.0,351.9,354.1,-0.25,17547,6232384.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-11,361.0,368.0,356.0,367.0,3.64,61374,22389156.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-12,373.9,374.9,365.1,368.0,0.27,52061,19283726.2,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-13,372.0,379.0,365.2,375.0,1.9,45941,17199448.7,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-14,378.8,382.5,365.6,372.0,-0.8,74084,27878581.6,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
2023-06-15,368.0,375.0,365.0,372.1,0.03,26583,9834651.8,2023,16.04,23.07,10.8,10.0,17.02,22.3,10.85,10.0,19.45,2.05,9.8
