date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,585.0,593.0,580.0,589.0,0.63,35465.0,20836762.7,2022,12.91,31.5,9.45,10.0
2022-01-03,599.0,607.9,587.1,595.0,1.02,65710.0,39435972.3,2022,12.91,31.5,9.45,10.0
2022-01-04,595.1,609.0,585.0,607.0,2.02,61815.0,37200691.4,2022,12.91,31.5,9.45,10.0
2022-01-05,619.0,629.0,601.0,605.2,-0.3,86845.0,53436314.7,2022,12.91,31.5,9.45,10.0
2022-01-06,597.1,617.0,595.0,614.0,1.45,45566.0,27864070.9,2022,12.91,31.5,9.45,10.0
2022-01-09,623.0,674.0,620.0,671.0,9.28,138748.0,89993203.3,2022,12.91,31.5,9.45,10.0
2022-01-10,684.4,700.0,670.0,690.0,2.83,105159.0,72265593.7,2022,12.91,31.5,9.45,10.0
2022-01-11,690.0,745.0,676.2,723.0,4.78,94467.0,67759373.2,2022,12.91,31.5,9.45,10.0
2022-01-12,725.0,759.9,711.0,714.0,-1.24,157172.0,115494796.5,2022,12.91,31.5,9.45,10.0
2022-01-13,700.1,775.0,700.1,775.0,8.54,123926.0,90762483.1,2022,12.91,31.5,9.45,10.0
2022-01-16,780.0,800.0,777.0,794.0,2.45,131599.0,104149349.3,2022,12.91,31.5,9.45,10.0
2022-01-17,794.0,798.0,775.0,781.0,-1.64,72049.0,56366160.1,2022,12.91,31.5,9.45,10.0
2022-01-18,769.0,785.0,740.0,754.0,-3.46,117714.0,89367271.2,2022,12.91,31.5,9.45,10.0
2022-01-19,754.0,767.8,732.1,737.0,-2.25,85558.0,63495616.7,2022,12.91,31.5,9.45,10.0
2022-01-20,740.0,774.0,723.0,773.0,4.88,80682.0,60630422.1,2022,12.91,31.5,9.45,10.0
2022-01-23,773.0,785.0,744.0,745.1,-3.61,61634.0,46671120.6,2022,12.91,31.5,9.45,10.0
2022-01-24,730.2,742.0,697.0,705.0,-5.38,157192.0,112757090.1,2022,12.91,31.5,9.45,10.0
