date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend,net-margin,pb-ratio,debt-equity
2022-01-02,440.0,450.8,430.1,448.0,2.99,44696,19810900.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-03,456.9,469.0,449.0,459.0,2.46,57667,26522386.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-04,467.9,491.6,452.1,489.0,6.54,102186,48641547.6,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-05,495.0,504.0,474.0,474.0,-3.07,84716,41381457.5,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-06,474.0,491.6,466.0,486.0,2.53,84786,40726679.0,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-09,490.0,515.0,490.0,515.0,5.97,136830,69707178.5,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-10,525.0,530.0,514.0,521.0,1.17,78925,41234758.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-11,521.0,567.0,510.1,558.0,7.1,149844,81926266.8,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-12,558.0,565.7,535.0,540.0,-3.23,152591,83964553.7,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-13,539.0,569.0,533.0,563.0,4.26,117059,64764471.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-16,574.2,590.0,568.0,575.0,2.13,158485,91879202.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-17,580.0,584.0,562.0,578.0,0.52,126908,73037217.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-18,577.0,578.0,546.9,555.1,-3.96,165150,92849697.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-19,560.0,566.0,540.0,541.5,-2.45,84969,46539377.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-20,540.0,578.2,535.0,574.0,6.0,97604,54226774.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-23,585.0,585.4,556.0,559.0,-2.61,100708,57246914.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-24,559.0,559.0,530.1,533.0,-4.65,162513,87812968.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-25,543.0,546.0,519.0,527.0,-1.13,143088,75898316.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-26,521.0,532.0,510.0,514.5,-2.37,88744,45955149.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-27,514.0,525.0,510.0,511.0,-0.68,56196,28966687.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-30,521.2,550.0,521.2,550.0,7.63,109917,59579285.8,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-01-31,552.0,560.0,537.0,538.0,-2.18,58588,31907276.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-01,530.0,551.5,530.0,549.0,2.04,76648,41697786.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-03,555.0,565.9,538.1,539.0,-1.82,99985,55390046.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-06,530.0,544.0,529.0,530.1,-1.65,51915,27747095.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-07,530.0,542.9,529.0,534.0,0.74,47655,25557960.5,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-08,544.6,560.0,529.0,530.0,-0.75,70348,38136070.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-09,539.9,539.9,520.0,525.0,-0.94,32287,16945774.8,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-10,525.0,530.0,516.2,521.5,-0.67,32855,17121208.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-13,522.0,522.0,493.0,499.0,-4.31,79112,39734989.7,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-14,498.0,507.9,498.0,498.1,-0.18,41036,20623692.0,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-15,508.0,516.8,500.0,516.0,3.59,34464,17486481.0,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-16,517.0,525.0,501.0,505.0,-2.13,28013,14250376.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-17,501.0,509.0,500.0,504.0,-0.2,18933,9552622.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-20,494.0,505.0,481.0,498.0,-1.19,48069,23840988.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-21,500.0,504.0,497.0,499.0,0.2,22781,11379822.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-22,508.9,509.9,502.0,505.0,1.2,36610,18561773.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-23,510.0,511.9,498.2,500.5,-0.89,26150,13130212.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-24,495.0,500.0,485.0,487.0,-2.7,37722,18483421.7,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-27,490.0,490.0,474.0,480.2,-1.4,34975,16867408.8,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-02-28,489.0,498.0,472.0,474.0,-1.29,44148,21214497.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-02,471.0,472.0,454.0,457.0,-3.59,41214,18995744.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-06,458.0,475.0,455.0,462.5,1.2,46128,21329845.7,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-07,465.0,473.9,458.0,459.0,-0.76,23220,10778732.6,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-09,460.0,466.0,448.0,448.1,-2.37,33844,15318493.1,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-10,444.0,476.4,444.0,476.4,6.32,32422,14956125.8,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-13,480.0,508.0,480.0,500.0,4.95,70560,35122826.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-14,505.0,509.9,491.0,500.0,0.0,16544,8291298.0,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-15,503.0,503.0,490.0,497.0,-0.6,35491,17580878.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-16,497.0,505.0,488.0,490.0,-1.41,30045,14814196.6,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-20,499.0,500.0,484.0,485.0,-1.02,20384,9997817.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-21,492.0,507.0,482.0,502.1,3.53,36616,18133393.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-22,506.0,515.0,505.0,507.0,0.98,42177,21527808.5,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-23,500.0,506.0,498.3,502.0,-0.99,25557,12829932.5,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-24,510.0,510.0,490.0,493.0,-1.79,29584,14648070.6,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-27,495.0,495.0,473.9,474.0,-3.85,45538,21857185.7,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-28,467.0,485.0,467.0,471.0,-0.63,26610,12604045.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-29,474.0,480.4,463.0,467.0,-0.85,24634,11556370.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-30,475.0,486.0,464.2,486.0,4.07,24122,11517518.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-03-31,488.0,491.0,467.0,471.0,-3.09,23306,11085144.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-03,472.0,472.0,463.0,465.0,-1.27,19620,9118413.5,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-04,466.0,474.0,463.2,465.0,0.0,20593,9605109.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-05,460.0,465.0,450.0,457.0,-1.72,51150,23274807.5,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-06,451.0,461.0,439.0,449.0,-1.75,30197,13613612.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-07,450.0,460.0,448.0,456.0,1.56,20804,9452471.7,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-11,465.0,473.0,446.1,446.9,-2.0,27320,12511535.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-12,447.0,447.0,438.0,439.1,-1.75,22265,9820136.4,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-13,440.5,452.0,434.9,447.5,1.91,18498,8214492.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-17,454.0,455.0,440.0,440.0,-1.68,14612,6512306.5,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-18,443.0,443.0,428.0,430.1,-2.25,22143,9556037.0,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-19,438.6,439.9,417.7,430.3,0.05,16452,7089896.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-20,438.9,438.9,413.0,413.0,-4.02,19411,8140878.9,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-21,413.0,425.0,402.0,420.0,1.69,21678,8867371.1,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-24,428.0,462.0,420.0,455.0,8.33,35395,15539112.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-25,461.0,464.0,441.0,441.0,-3.08,25532,11530346.3,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
2022-04-26,448.5,448.5,430.0,435.0,-1.36,12636,5528678.2,2022,18.38,18.5,11.18,0.0,11.8,2.65,9.4
