date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,451.0,457.0,440.0,457.0,1.83,15567.0,7009825.0,2022,14.65,30.5,12.4,13.0
2022-01-03,450.0,477.4,450.0,470.0,2.84,11624.0,5404633.0,2022,14.65,30.5,12.4,13.0
2022-01-04,478.0,490.0,460.6,490.0,4.26,21181.0,10186241.5,2022,14.65,30.5,12.4,13.0
2022-01-05,492.0,517.4,485.0,498.0,1.63,34491.0,17186160.3,2022,14.65,30.5,12.4,13.0
2022-01-06,488.1,504.0,478.4,504.0,1.2,15831.0,7817519.9,2022,14.65,30.5,12.4,13.0
2022-01-09,514.0,531.4,503.0,531.4,5.44,25393.0,13253588.7,2022,14.65,30.5,12.4,13.0
2022-01-10,542.0,559.9,532.0,555.0,4.44,53492.0,29201550.5,2022,14.65,30.5,12.4,13.0
2022-01-11,548.0,605.0,546.0,605.0,9.01,78608.0,45965506.0,2022,14.65,30.5,12.4,13.0
2022-01-12,606.0,617.0,576.5,585.0,-3.31,74199.0,44379816.3,2022,14.65,30.5,12.4,13.0
2022-01-13,574.0,595.5,574.0,594.0,1.54,44990.0,26353635.4,2022,14.65,30.5,12.4,13.0
2022-01-16,600.0,609.0,595.0,599.0,0.84,72009.0,43349424.5,2022,14.65,30.5,12.4,13.0
2022-01-17,592.0,604.9,590.0,593.0,-1.0,13715.0,8130291.9,2022,14.65,30.5,12.4,13.0
2022-01-18,584.0,599.0,575.0,584.0,-1.52,26073.0,15342290.0,2022,14.65,30.5,12.4,13.0
2022-01-19,595.6,595.6,558.0,569.0,-2.57,26638.0,15195511.0,2022,14.65,30.5,12.4,13.0
2022-01-20,560.0,588.0,558.0,585.0,2.81,23805.0,13740598.0,2022,14.65,30.5,12.4,13.0
2022-01-23,596.7,605.0,564.0,576.0,-1.54,30333.0,17588448.7,2022,14.65,30.5,12.4,13.0
2022-01-24,572.0,572.0,545.6,556.0,-3.47,37271.0,20768196.5,2022,14.65,30.5,12.4,13.0
2022-01-25,556.0,566.0,544.9,548.0,-1.44,23541.0,13096243.5,2022,14.65,30.5,12.4,13.0
2022-01-26,554.0,555.0,530.0,537.0,-2.01,15952.0,8575243.1,2022,14.65,30.5,12.4,13.0
2022-01-27,547.0,547.0,535.1,535.6,-0.26,9486.0,5097970.9,2022,14.65,30.5,12.4,13.0
2022-01-30,546.0,570.0,546.0,570.0,6.42,25868.0,14485009.5,2022,14.65,30.5,12.4,13.0
2022-01-31,572.0,575.0,558.0,560.0,-1.75,11671.0,6556344.2,2022,14.65,30.5,12.4,13.0
2022-02-01,559.0,569.0,551.0,562.1,0.38,11373.0,6369531.2,2022,14.65,30.5,12.4,13.0
2022-02-03,570.0,576.9,559.0,559.0,-0.55,25063.0,14244673.3,2022,14.65,30.5,12.4,13.0
2022-02-06,548.0,559.0,545.0,546.0,-2.33,6763.0,3709857.0,2022,14.65,30.5,12.4,13.0
2022-02-07,550.0,555.0,540.0,549.0,0.55,9727.0,5304232.9,2022,14.65,30.5,12.4,13.0
2022-02-08,559.0,569.5,538.0,538.0,-2.0,13691.0,7458093.1,2022,14.65,30.5,12.4,13.0
2022-02-09,536.0,536.0,523.0,536.0,-0.37,15569.0,8253473.9,2022,14.65,30.5,12.4,13.0
2022-02-10,536.0,537.0,525.0,527.3,-1.62,8019.0,4248451.9,2022,14.65,30.5,12.4,13.0
2022-02-13,516.8,520.0,495.0,497.9,-5.58,27560.0,13865201.4,2022,14.65,30.5,12.4,13.0
2022-02-14,490.0,507.0,490.0,500.2,0.46,6984.0,3499750.8,2022,14.65,30.5,12.4,13.0
2022-02-15,507.0,517.0,501.1,515.0,2.96,5813.0,2953598.1,2022,14.65,30.5,12.4,13.0
2022-02-16,510.0,525.0,505.0,505.0,-1.94,8805.0,4495125.0,2022,14.65,30.5,12.4,13.0
2022-02-17,500.0,513.7,500.0,513.7,1.72,5917.0,2993907.4,2022,14.65,30.5,12.4,13.0
2022-02-20,513.7,513.7,495.1,500.0,-2.67,9379.0,4721067.8,2022,14.65,30.5,12.4,13.0
2022-02-21,505.0,508.0,500.0,501.0,0.2,2888.0,1448442.2,2022,14.65,30.5,12.4,13.0
2022-02-22,510.0,517.0,505.1,512.0,2.2,9434.0,4802965.4,2022,14.65,30.5,12.4,13.0
2022-02-23,512.0,515.0,501.0,505.0,-1.37,5199.0,2624423.0,2022,14.65,30.5,12.4,13.0
2022-02-24,500.0,503.0,485.0,486.0,-3.76,9575.0,4703929.4,2022,14.65,30.5,12.4,13.0
2022-02-27,492.0,493.0,475.0,493.0,1.44,7684.0,3717707.8,2022,14.65,30.5,12.4,13.0
2022-02-28,495.0,495.0,465.0,473.0,-4.06,9361.0,4460110.1,2022,14.65,30.5,12.4,13.0
2022-03-02,470.0,470.0,460.0,461.0,-2.54,15496.0,7173137.0,2022,14.65,30.5,12.4,13.0
2022-03-06,463.0,477.0,460.0,469.0,1.74,12272.0,5743467.2,2022,14.65,30.5,12.4,13.0
2022-03-07,478.0,478.0,460.0,460.0,-1.92,7007.0,3267663.4,2022,14.65,30.5,12.4,13.0
2022-03-09,467.0,467.0,439.0,439.1,-4.54,17172.0,7639209.8,2022,14.65,30.5,12.4,13.0
2022-03-10,435.0,463.0,432.0,463.0,5.44,11083.0,4982009.4,2022,14.65,30.5,12.4,13.0
2022-03-13,470.0,500.0,465.0,500.0,7.99,25909.0,12575823.9,2022,14.65,30.5,12.4,13.0
2022-03-14,505.0,505.0,482.2,488.0,-2.4,8976.0,4440436.5,2022,14.65,30.5,12.4,13.0
2022-03-15,489.0,502.8,484.0,501.0,2.66,24378.0,12039797.7,2022,14.65,30.5,12.4,13.0
2022-03-16,510.0,511.0,495.0,499.8,-0.24,13068.0,6509355.4,2022,14.65,30.5,12.4,13.0
2022-03-20,508.0,508.0,488.0,498.0,-0.36,13538.0,6666899.5,2022,14.65,30.5,12.4,13.0
2022-03-21,505.0,515.0,490.3,511.0,2.61,20713.0,10429513.3,2022,14.65,30.5,12.4,13.0
2022-03-22,518.0,525.0,510.0,524.0,2.54,25249.0,13107204.7,2022,14.65,30.5,12.4,13.0
2022-03-23,514.0,521.0,512.2,517.0,-1.34,9821.0,5055591.9,2022,14.65,30.5,12.4,13.0
2022-03-24,510.0,510.0,497.0,499.0,-3.48,20682.0,10422316.9,2022,14.65,30.5,12.4,13.0
2022-03-27,502.0,502.0,480.0,482.0,-3.41,13854.0,6777285.9,2022,14.65,30.5,12.4,13.0
2022-03-28,480.0,486.0,467.0,470.0,-2.49,21243.0,10079873.2,2022,14.65,30.5,12.4,13.0
2022-03-29,469.0,479.4,464.0,470.0,0.0,7900.0,3711622.0,2022,14.65,30.5,12.4,13.0
2022-03-30,479.0,492.0,464.0,487.0,3.62,7898.0,3799825.5,2022,14.65,30.5,12.4,13.0
2022-03-31,480.0,489.0,473.1,473.1,-2.85,8891.0,4259911.7,2022,14.65,30.5,12.4,13.0
2022-04-03,466.1,469.0,466.0,469.0,-0.87,6164.0,2876907.3,2022,14.65,30.5,12.4,13.0
2022-04-04,470.0,475.0,461.0,463.5,-1.17,4066.0,1899362.4,2022,14.65,30.5,12.4,13.0
2022-04-05,456.0,465.0,447.0,451.1,-2.68,15037.0,6820475.7,2022,14.65,30.5,12.4,13.0
2022-04-06,443.0,458.0,443.0,455.0,0.86,7940.0,3583034.7,2022,14.65,30.5,12.4,13.0
2022-04-07,459.0,471.9,451.0,466.9,2.62,9703.0,4471807.3,2022,14.65,30.5,12.4,13.0
2022-04-11,470.0,477.0,459.0,472.0,1.09,10192.0,4769559.0,2022,14.65,30.5,12.4,13.0
2022-04-12,462.6,462.6,450.8,453.0,-4.03,3488.0,1582991.1,2022,14.65,30.5,12.4,13.0
2022-04-13,461.0,461.0,436.2,461.0,1.77,6104.0,2771249.1,2022,14.65,30.5,12.4,13.0
2022-04-17,451.8,459.0,444.1,445.0,-3.47,5471.0,2456583.1,2022,14.65,30.5,12.4,13.0
2022-04-18,438.5,451.0,430.0,445.0,0.0,16656.0,7383498.3,2022,14.65,30.5,12.4,13.0
2022-04-19,452.9,462.0,436.1,453.9,2.0,7180.0,3215179.0,2022,14.65,30.5,12.4,13.0
2022-04-20,455.0,455.0,438.0,439.1,-3.26,2350.0,1039122.2,2022,14.65,30.5,12.4,13.0
2022-04-21,432.0,445.0,425.1,445.0,1.34,6034.0,2632333.8,2022,14.65,30.5,12.4,13.0
2022-04-24,453.0,479.1,445.0,471.0,5.84,9752.0,4496818.8,2022,14.65,30.5,12.4,13.0
2022-04-25,470.0,475.0,455.0,461.0,-2.12,9822.0,4579245.7,2022,14.65,30.5,12.4,13.0
2022-04-26,461.0,461.0,443.1,447.0,-3.04,1171.0,529572.0,2022,14.65,30.5,12.4,13.0
2022-04-27,442.2,454.9,442.0,450.0,0.67,3563.0,1601899.0,2022,14.65,30.5,12.4,13.0
2022-04-28,444.0,455.0,438.3,447.0,-0.67,7071.0,3136725.5,2022,14.65,30.5,12.4,13.0
