date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend,net-margin,pb-ratio,debt-equity
2022-01-02,1107.0,1151.5,1086.0,1144.0,5.41,263845,297049298.9,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-03,1150.0,1160.0,1137.0,1137.0,-0.61,130041,149363282.6,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-04,1137.0,1139.0,1117.2,1119.0,-1.58,116739,130969035.9,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-05,1122.0,1138.0,1110.0,1111.9,-0.63,75462,84317711.8,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-06,1111.0,1123.0,1099.6,1114.0,0.19,67780,75380074.6,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-09,1120.0,1129.0,1110.0,1113.0,-0.09,126780,141472657.4,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-10,1113.0,1119.9,1106.1,1111.3,-0.15,120640,134198561.8,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-11,1112.0,1117.0,1105.5,1114.8,0.31,102845,114259483.8,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-12,1120.0,1120.0,1107.0,1107.0,-0.7,105760,117881455.5,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-13,1110.0,1112.0,1104.0,1110.0,0.27,92618,102712292.8,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-16,1120.0,1147.0,1110.0,1140.0,2.7,176667,200255532.5,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-17,1162.0,1179.0,1140.0,1178.9,3.41,113189,131409910.2,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-18,1180.0,1209.0,1180.0,1190.0,0.94,116223,139206459.5,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-19,1213.0,1213.0,1170.1,1177.0,-1.09,73385,86938565.3,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-20,1182.0,1182.0,1160.0,1178.0,0.08,47782,56086709.1,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-23,1178.0,1178.0,1155.0,1161.0,-1.44,79765,92763156.9,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-24,1165.0,1165.0,1125.0,1127.0,-2.93,96165,109300301.1,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-25,1135.0,1145.0,1110.0,1129.1,0.19,52041,58784959.5,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-26,1129.0,1134.9,1115.0,1121.0,-0.72,61217,68718459.2,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
2022-01-27,1121.0,1130.0,1115.0,1117.0,-0.36,56308,63080144.6,2022,37.42,21.5,14.8,30.0,14.46,2.1,9.1
