date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,330.0,332.0,326.0,329.5,0.15,55759.0,18378241.5,2022,18.79,16.23,13.32,8.25
2022-01-03,335.0,338.0,329.0,335.0,1.67,61935.0,20685566.4,2022,18.79,16.23,13.32,8.25
2022-01-04,330.1,359.0,330.1,358.0,6.87,122527.0,42437676.4,2022,18.79,16.23,13.32,8.25
2022-01-05,360.0,363.0,348.1,349.0,-2.51,61584.0,21868463.6,2022,18.79,16.23,13.32,8.25
2022-01-06,349.0,354.0,345.5,352.0,0.86,71121.0,24894084.5,2022,18.79,16.23,13.32,8.25
2022-01-09,355.5,365.0,354.0,364.0,3.41,138572.0,49751965.7,2022,18.79,16.23,13.32,8.25
2022-01-10,371.2,371.2,358.0,358.5,-1.51,89810.0,32449203.6,2022,18.79,16.23,13.32,8.25
2022-01-11,362.0,362.0,355.0,359.0,0.14,81984.0,29399781.3,2022,18.79,16.23,13.32,8.25
2022-01-12,359.0,361.0,353.0,353.1,-1.64,80396.0,28686740.9,2022,18.79,16.23,13.32,8.25
2022-01-13,352.0,357.0,352.0,353.4,0.08,57431.0,20361770.7,2022,18.79,16.23,13.32,8.25
2022-01-16,360.0,367.0,356.5,362.0,2.43,98299.0,35477045.1,2022,18.79,16.23,13.32,8.25
2022-01-17,369.0,370.0,361.0,365.1,0.86,61957.0,22649882.6,2022,18.79,16.23,13.32,8.25
2022-01-18,367.0,387.6,363.0,377.9,3.51,134459.0,50157754.7,2022,18.79,16.23,13.32,8.25
2022-01-19,373.5,378.0,367.4,370.0,-2.09,82644.0,30688774.2,2022,18.79,16.23,13.32,8.25
2022-01-20,367.0,372.0,366.5,369.0,-0.27,39556.0,14576159.1,2022,18.79,16.23,13.32,8.25
2022-01-23,371.0,371.0,359.0,362.0,-1.9,72095.0,26199979.4,2022,18.79,16.23,13.32,8.25
2022-01-24,360.0,361.0,347.0,349.0,-3.59,76337.0,26843788.8,2022,18.79,16.23,13.32,8.25
2022-01-25,355.9,355.9,345.0,350.0,0.29,54720.0,19046754.9,2022,18.79,16.23,13.32,8.25
2022-01-26,345.0,349.0,342.0,343.1,-1.97,44525.0,15324667.2,2022,18.79,16.23,13.32,8.25
2022-01-27,345.0,349.0,339.0,340.1,-0.87,37922.0,12977412.9,2022,18.79,16.23,13.32,8.25
2022-01-30,346.9,360.0,346.9,352.0,3.5,45647.0,15994786.8,2022,18.79,16.23,13.32,8.25
2022-01-31,352.0,355.0,346.5,347.0,-1.42,28505.0,9948886.7,2022,18.79,16.23,13.32,8.25
2022-02-01,347.0,349.0,343.0,347.5,0.14,46912.0,16201146.9,2022,18.79,16.23,13.32,8.25
2022-02-03,353.0,354.0,345.0,347.0,-0.14,55570.0,19362552.5,2022,18.79,16.23,13.32,8.25
2022-02-06,345.0,350.0,340.0,342.0,-1.44,52586.0,18108772.1,2022,18.79,16.23,13.32,8.25
2022-02-07,341.0,344.0,338.3,340.7,-0.38,50996.0,17357453.3,2022,18.79,16.23,13.32,8.25
2022-02-08,347.0,355.5,339.0,340.0,-0.21,62268.0,21429264.7,2022,18.79,16.23,13.32,8.25
2022-02-09,340.0,342.0,337.0,338.0,-0.59,36942.0,12501455.6,2022,18.79,16.23,13.32,8.25
2022-02-10,339.0,339.0,334.5,335.0,-0.89,46342.0,15565077.7,2022,18.79,16.23,13.32,8.25
2022-02-13,330.0,334.0,324.0,324.4,-3.16,98866.0,32360561.1,2022,18.79,16.23,13.32,8.25
2022-02-14,328.0,330.9,321.0,324.0,-0.12,90724.0,29390866.1,2022,18.79,16.23,13.32,8.25
2022-02-15,325.1,328.0,322.5,327.0,0.93,62430.0,20236588.6,2022,18.79,16.23,13.32,8.25
2022-02-16,327.0,328.5,325.0,326.0,-0.31,39665.0,12929656.5,2022,18.79,16.23,13.32,8.25
2022-02-17,327.0,330.0,326.0,326.5,0.15,19827.0,6495030.7,2022,18.79,16.23,13.32,8.25
2022-02-20,324.0,326.0,319.0,322.8,-1.13,40760.0,13129720.5,2022,18.79,16.23,13.32,8.25
2022-02-21,323.0,326.0,320.0,325.0,0.68,43544.0,14101549.9,2022,18.79,16.23,13.32,8.25
2022-02-22,325.0,330.0,322.5,325.2,0.06,34205.0,11139766.5,2022,18.79,16.23,13.32,8.25
2022-02-23,327.0,327.0,323.0,324.0,-0.37,32142.0,10420826.6,2022,18.79,16.23,13.32,8.25
2022-02-24,322.0,322.1,316.0,317.1,-2.13,75064.0,23936781.7,2022,18.79,16.23,13.32,8.25
2022-02-27,320.0,320.0,314.0,314.5,-0.82,34905.0,11022802.6,2022,18.79,16.23,13.32,8.25
2022-02-28,320.7,324.0,313.0,313.8,-0.22,41040.0,12932209.1,2022,18.79,16.23,13.32,8.25
2022-03-02,310.0,315.0,308.0,309.1,-1.5,52893.0,16377648.2,2022,18.79,16.23,13.32,8.25
2022-03-06,312.0,315.0,308.7,309.1,0.0,44259.0,13724024.1,2022,18.79,16.23,13.32,8.25
2022-03-07,309.0,315.0,309.0,309.0,-0.03,22309.0,6929458.0,2022,18.79,16.23,13.32,8.25
2022-03-09,312.0,313.7,305.0,307.0,-0.65,48000.0,14752268.2,2022,18.79,16.23,13.32,8.25
2022-03-10,307.0,311.0,305.0,310.9,1.27,19182.0,5919855.4,2022,18.79,16.23,13.32,8.25
2022-03-13,317.0,325.0,310.0,322.8,3.83,42573.0,13560358.1,2022,18.79,16.23,13.32,8.25
