date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2022-01-02,306.4,308.0,300.1,305.0,1.53,63255.0,19260125.2,2022,10.69,18.5,9.45,8.0
2022-01-03,311.1,314.0,305.1,310.0,1.64,86056.0,26677019.8,2022,10.69,18.5,9.45,8.0
2022-01-04,316.2,329.0,306.2,329.0,6.13,136196.0,43668061.3,2022,10.69,18.5,9.45,8.0
2022-01-05,331.0,334.0,318.0,319.9,-2.77,81901.0,26416439.6,2022,10.69,18.5,9.45,8.0
2022-01-06,314.0,328.0,313.6,325.0,1.59,56965.0,18457372.1,2022,10.69,18.5,9.45,8.0
2022-01-09,329.4,338.0,324.4,337.0,3.69,632080.0,208642015.4,2022,10.69,18.5,9.45,8.0
2022-01-10,343.0,350.0,332.0,336.5,-0.15,136075.0,46284611.8,2022,10.69,18.5,9.45,8.0
2022-01-11,337.0,340.0,332.0,338.0,0.45,74992.0,25285733.2,2022,10.69,18.5,9.45,8.0
2022-01-12,340.0,343.0,328.0,332.0,-1.78,94046.0,31451445.6,2022,10.69,18.5,9.45,8.0
2022-01-13,332.0,336.6,327.0,335.0,0.9,80445.0,26742261.8,2022,10.69,18.5,9.45,8.0
2022-01-16,338.6,344.0,334.0,340.0,1.49,148315.0,50190729.5,2022,10.69,18.5,9.45,8.0
2022-01-17,345.9,353.0,337.5,342.0,0.59,125583.0,43122386.1,2022,10.69,18.5,9.45,8.0
2022-01-18,348.0,366.0,344.1,361.0,5.56,423443.0,151659228.9,2022,10.69,18.5,9.45,8.0
2022-01-19,368.2,377.0,358.0,366.0,1.39,256420.0,94591639.1,2022,10.69,18.5,9.45,8.0
2022-01-20,370.0,370.0,361.0,365.0,-0.27,86907.0,31666015.9,2022,10.69,18.5,9.45,8.0
2022-01-23,367.0,367.0,348.0,350.0,-4.11,287949.0,101375371.8,2022,10.69,18.5,9.45,8.0
2022-01-24,350.0,350.0,334.0,335.1,-4.26,175680.0,59524333.1,2022,10.69,18.5,9.45,8.0
2022-01-25,341.8,341.8,330.0,331.5,-1.07,91851.0,30702426.8,2022,10.69,18.5,9.45,8.0
2022-01-26,330.0,334.0,325.0,327.0,-1.36,74648.0,24425515.2,2022,10.69,18.5,9.45,8.0
2022-01-27,330.9,333.5,325.2,327.0,0.0,57733.0,18910809.5,2022,10.69,18.5,9.45,8.0
2022-01-30,333.5,344.0,332.6,338.0,3.36,83176.0,27982555.6,2022,10.69,18.5,9.45,8.0
2022-01-31,340.0,341.0,331.2,332.0,-1.78,72801.0,24368880.8,2022,10.69,18.5,9.45,8.0
2022-02-01,327.1,334.0,326.0,334.0,0.6,103728.0,34171364.9,2022,10.69,18.5,9.45,8.0
2022-02-03,336.0,339.9,331.5,333.0,-0.3,96481.0,32247252.1,2022,10.69,18.5,9.45,8.0
2022-02-06,331.9,333.0,327.0,328.0,-1.5,46551.0,15300271.9,2022,10.69,18.5,9.45,8.0
2022-02-07,327.0,328.0,324.0,325.0,-0.91,126569.0,41170767.3,2022,10.69,18.5,9.45,8.0
2022-02-08,331.5,339.0,323.4,325.0,0.0,101311.0,33078931.0,2022,10.69,18.5,9.45,8.0
2022-02-09,324.5,326.0,319.2,319.2,-1.78,95046.0,30580831.7,2022,10.69,18.5,9.45,8.0
2022-02-10,317.0,323.0,315.0,315.1,-1.28,88446.0,28070556.9,2022,10.69,18.5,9.45,8.0
2022-02-13,310.0,312.0,304.0,308.5,-2.09,122861.0,37979230.0,2022,10.69,18.5,9.45,8.0
2022-02-14,307.0,313.0,307.0,308.0,-0.16,74121.0,22907392.6,2022,10.69,18.5,9.45,8.0
2022-02-15,312.0,315.0,307.0,315.0,2.27,83609.0,25915744.4,2022,10.69,18.5,9.45,8.0
2022-02-16,315.0,317.0,308.0,308.0,-2.22,78923.0,24568644.6,2022,10.69,18.5,9.45,8.0
2022-02-17,310.0,314.0,309.0,310.0,0.65,39663.0,12344474.6,2022,10.69,18.5,9.45,8.0
2022-02-20,309.0,309.9,302.9,304.0,-1.94,79934.0,24443501.8,2022,10.69,18.5,9.45,8.0
2022-02-21,305.0,313.0,304.0,309.0,1.64,78811.0,24320479.2,2022,10.69,18.5,9.45,8.0
2022-02-22,311.0,315.1,311.0,313.4,1.42,83855.0,26275518.1,2022,10.69,18.5,9.45,8.0
2022-02-23,313.4,315.0,308.1,308.9,-1.44,55582.0,17268832.4,2022,10.69,18.5,9.45,8.0
2022-02-24,308.0,309.9,300.0,302.0,-2.23,118903.0,35894241.7,2022,10.69,18.5,9.45,8.0
2022-02-27,302.0,308.0,300.0,300.5,-0.5,89642.0,27212929.1,2022,10.69,18.5,9.45,8.0
2022-02-28,303.0,308.0,298.2,299.3,-0.4,89597.0,26887056.3,2022,10.69,18.5,9.45,8.0
2022-03-02,300.0,301.0,291.0,293.0,-2.1,116445.0,34252316.0,2022,10.69,18.5,9.45,8.0
2022-03-06,294.0,299.0,292.0,293.0,0.0,86424.0,25382872.1,2022,10.69,18.5,9.45,8.0
2022-03-07,295.0,297.0,288.0,294.0,0.34,118944.0,34757042.1,2022,10.69,18.5,9.45,8.0
2022-03-09,295.0,297.0,289.1,291.8,-0.75,46099.0,13430399.3,2022,10.69,18.5,9.45,8.0
2022-03-10,294.0,295.0,289.0,294.9,1.06,89745.0,26253403.5,2022,10.69,18.5,9.45,8.0
2022-03-13,297.0,311.0,296.1,308.0,4.44,131041.0,39924577.1,2022,10.69,18.5,9.45,8.0
2022-03-14,309.0,311.0,305.0,308.0,0.0,28122.0,8691238.0,2022,10.69,18.5,9.45,8.0
2022-03-15,308.0,308.0,300.9,305.9,-0.68,95721.0,29129939.1,2022,10.69,18.5,9.45,8.0
