date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2023-01-01,755.0,769.9,755.0,756.1,1.49,2639.0,2021294.6,2023,17.14,48.2,14.45,10.53
2023-01-02,748.1,769.0,748.1,767.0,1.44,691.0,527453.0,2023,17.14,48.2,14.45,10.53
2023-01-03,767.0,780.0,758.0,758.0,-1.17,797.0,616613.5,2023,17.14,48.2,14.45,10.53
2023-01-04,765.0,806.9,765.0,806.9,6.45,2569.0,2042077.8,2023,17.14,48.2,14.45,10.53
2023-01-05,822.0,831.4,800.1,815.0,1.0,3177.0,2590288.1,2023,17.14,48.2,14.45,10.53
2023-01-08,815.0,875.0,800.1,835.0,2.45,3552.0,3013960.3,2023,17.14,48.2,14.45,10.53
2023-01-09,835.0,860.0,822.0,858.0,2.75,2573.0,2179905.6,2023,17.14,48.2,14.45,10.53
2023-01-10,873.0,875.0,809.8,809.8,-5.62,3873.0,3253076.0,2023,17.14,48.2,14.45,10.53
2023-01-12,810.0,827.2,765.5,765.5,-5.47,3934.0,3114778.3,2023,17.14,48.2,14.45,10.53
2023-01-17,757.0,821.1,752.0,821.1,7.26,2286.0,1791487.9,2023,17.14,48.2,14.45,10.53
2023-01-18,825.0,835.0,796.0,800.0,-2.57,982.0,798626.1,2023,17.14,48.2,14.45,10.53
2023-01-19,787.0,800.0,784.0,794.0,-0.75,435.0,343998.2,2023,17.14,48.2,14.45,10.53
2023-01-23,809.8,809.8,765.0,777.0,-2.14,892.0,696894.2,2023,17.14,48.2,14.45,10.53
2023-01-24,792.5,808.0,759.5,777.0,0.0,885.0,689990.2,2023,17.14,48.2,14.45,10.53
2023-01-25,770.0,805.0,770.0,772.0,-0.64,1378.0,1074372.2,2023,17.14,48.2,14.45,10.53
2023-01-26,787.4,800.0,780.0,785.0,1.68,1449.0,1146785.1,2023,17.14,48.2,14.45,10.53
2023-01-29,771.5,785.0,770.0,773.0,-1.53,1918.0,1490588.3,2023,17.14,48.2,14.45,10.53
2023-01-30,760.0,785.0,755.0,755.2,-2.3,899.0,689420.4,2023,17.14,48.2,14.45,10.53
2023-01-31,755.0,761.0,746.1,749.9,-0.7,1041.0,782443.6,2023,17.14,48.2,14.45,10.53
2023-02-01,742.0,759.0,740.0,759.0,1.21,374.0,279504.0,2023,17.14,48.2,14.45,10.53
2023-02-02,760.0,770.0,743.9,748.0,-1.45,1046.0,784352.8,2023,17.14,48.2,14.45,10.53
2023-02-05,748.0,760.0,736.1,741.0,-0.94,371.0,276071.2,2023,17.14,48.2,14.45,10.53
2023-02-06,730.0,747.0,726.5,740.0,-0.13,722.0,530241.9,2023,17.14,48.2,14.45,10.53
2023-02-07,754.0,780.0,745.0,780.0,5.41,740.0,566728.0,2023,17.14,48.2,14.45,10.53
2023-02-08,780.0,785.0,764.4,770.0,-1.28,1576.0,1218788.5,2023,17.14,48.2,14.45,10.53
2023-02-09,771.0,771.0,750.0,770.0,0.0,1707.0,1299580.0,2023,17.14,48.2,14.45,10.53
2023-02-12,755.0,760.0,750.0,750.0,-2.6,1820.0,1366357.7,2023,17.14,48.2,14.45,10.53
2023-02-14,750.0,765.0,738.0,750.0,0.0,472.0,350489.2,2023,17.14,48.2,14.45,10.53
2023-02-15,760.0,770.0,744.0,770.0,2.67,370.0,278537.0,2023,17.14,48.2,14.45,10.53
