,date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
0,2022-01-02,447.0,457.9,439.1,457.9,2.44,16214.0,7294539.2,2022,37.36,16.51,14.15,16.51
1,2022-01-03,466.9,467.0,457.9,462.0,0.9,14593.0,6735724.1,2022,37.36,16.51,14.15,16.51
2,2022-01-04,462.0,508.2,452.8,497.0,7.58,48028.0,23587557.0,2022,37.36,16.51,14.15,16.51
3,2022-01-05,488.0,515.0,482.2,489.0,-1.61,16531.0,8196669.8,2022,37.36,16.51,14.15,16.51
4,2022-01-06,480.0,525.0,480.0,510.0,4.29,31673.0,15905067.2,2022,37.36,16.51,14.15,16.51
5,2022-01-09,519.9,530.0,515.0,520.0,1.96,38421.0,19999321.9,2022,37.36,16.51,14.15,16.51
6,2022-01-10,510.0,530.4,510.0,520.0,0.0,32327.0,16826128.7,2022,37.36,16.51,14.15,16.51
7,2022-01-11,510.0,520.0,507.0,515.0,-0.96,10971.0,5652590.4,2022,37.36,16.51,14.15,16.51
8,2022-01-12,520.0,520.0,505.0,505.0,-1.94,10647.0,5433382.7,2022,37.36,16.51,14.15,16.51
9,2022-01-13,500.0,505.0,495.0,500.0,-0.99,14802.0,7395994.3,2022,37.36,16.51,14.15,16.51
10,2022-01-16,510.0,550.0,500.1,550.0,10.0,44540.0,23160756.9,2022,37.36,16.51,14.15,16.51
11,2022-01-17,561.0,561.0,530.0,534.0,-2.91,41753.0,22593617.2,2022,37.36,16.51,14.15,16.51
12,2022-01-18,530.0,545.0,530.0,535.9,0.36,42876.0,22959981.5,2022,37.36,16.51,14.15,16.51
13,2022-01-19,530.0,540.6,522.0,526.0,-1.85,19006.0,10055557.2,2022,37.36,16.51,14.15,16.51
14,2022-01-20,529.0,529.0,516.0,525.0,-0.19,15295.0,7973926.2,2022,37.36,16.51,14.15,16.51
15,2022-01-23,526.0,534.0,516.1,522.0,-0.57,24106.0,12611633.7,2022,37.36,16.51,14.15,16.51
16,2022-01-24,522.0,523.0,501.6,510.0,-2.3,31246.0,15970866.3,2022,37.36,16.51,14.15,16.51
17,2022-01-25,520.2,520.2,505.0,514.2,0.82,11527.0,5893821.4,2022,37.36,16.51,14.15,16.51
18,2022-01-26,504.0,520.0,500.1,506.0,-1.59,13455.0,6832784.1,2022,37.36,16.51,14.15,16.51
19,2022-01-27,496.0,520.0,495.0,501.0,-0.99,23094.0,11563610.1,2022,37.36,16.51,14.15,16.51
20,2022-01-30,510.0,525.0,500.0,517.9,3.37,21665.0,11107483.1,2022,37.36,16.51,14.15,16.51
21,2022-01-31,525.0,525.0,507.0,507.0,-2.1,9219.0,4705697.9,2022,37.36,16.51,14.15,16.51
22,2022-02-01,502.1,512.0,500.0,506.0,-0.2,24303.0,12243934.4,2022,37.36,16.51,14.15,16.51
23,2022-02-03,501.0,515.0,501.0,508.1,0.42,16760.0,8566813.6,2022,37.36,16.51,14.15,16.51
24,2022-02-06,510.0,510.0,500.0,501.0,-1.4,25412.0,12759636.1,2022,37.36,16.51,14.15,16.51
25,2022-02-07,500.0,508.0,500.0,506.0,1.0,6140.0,3089218.6,2022,37.36,16.51,14.15,16.51
26,2022-02-08,516.1,520.0,500.0,501.0,-0.99,12327.0,6239773.2,2022,37.36,16.51,14.15,16.51
27,2022-02-09,504.0,505.0,493.0,495.1,-1.18,20092.0,9968856.5,2022,37.36,16.51,14.15,16.51
28,2022-02-10,505.0,505.0,494.9,494.9,-0.04,13717.0,6816923.4,2022,37.36,16.51,14.15,16.51
29,2022-02-13,485.1,488.0,475.0,480.0,-3.01,29854.0,14326428.3,2022,37.36,16.51,14.15,16.51
30,2022-02-14,471.0,490.0,470.0,484.0,0.83,8173.0,3951686.8,2022,37.36,16.51,14.15,16.51
