date,open,high,low,close,price_change_pct,volume,turnover,year,eps,pe-ratio,roe,dividend
2023-01-01,238.0,243.3,233.0,237.4,1.71,234115.0,55777283.6,2023,1.34,172.38,1.25,8.55
2023-01-02,237.0,255.0,234.0,254.0,6.99,318763.0,79234040.3,2023,1.34,172.38,1.25,8.55
2023-01-03,256.9,257.0,243.4,246.0,-3.15,173844.0,43261411.3,2023,1.34,172.38,1.25,8.55
2023-01-04,248.0,260.0,244.0,256.0,4.07,221654.0,55813782.7,2023,1.34,172.38,1.25,8.55
2023-01-05,261.1,261.1,249.0,253.3,-1.05,169256.0,42940850.7,2023,1.34,172.38,1.25,8.55
2023-01-08,258.3,263.1,248.2,254.0,0.28,181354.0,46581023.6,2023,1.34,172.38,1.25,8.55
2023-01-09,254.0,274.6,254.0,272.1,7.13,310706.0,82978717.8,2023,1.34,172.38,1.25,8.55
2023-01-10,277.5,290.0,265.0,268.1,-1.47,538636.0,150190585.9,2023,1.34,172.38,1.25,8.55
2023-01-12,273.4,283.0,260.0,261.2,-2.57,254165.0,68109637.9,2023,1.34,172.38,1.25,8.55
2023-01-17,265.0,274.0,256.0,272.0,4.13,198950.0,53168199.3,2023,1.34,172.38,1.25,8.55
2023-01-18,277.4,286.0,270.2,273.0,0.37,333103.0,93177400.8,2023,1.34,172.38,1.25,8.55
2023-01-19,278.4,278.4,267.1,272.0,-0.37,113914.0,31143579.4,2023,1.34,172.38,1.25,8.55
2023-01-23,275.9,276.0,262.0,263.0,-3.31,94900.0,25368332.7,2023,1.34,172.38,1.25,8.55
2023-01-24,260.0,264.0,254.0,263.0,0.0,133326.0,34523031.2,2023,1.34,172.38,1.25,8.55
2023-01-25,262.0,271.0,262.0,267.0,1.52,109560.0,29345184.3,2023,1.34,172.38,1.25,8.55
2023-01-26,272.3,274.9,266.2,266.2,-0.3,124849.0,33724278.6,2023,1.34,172.38,1.25,8.55
2023-01-29,262.0,270.0,262.0,262.3,-1.47,94783.0,25161585.4,2023,1.34,172.38,1.25,8.55
2023-01-30,265.0,265.0,253.0,253.5,-3.35,130739.0,33594954.4,2023,1.34,172.38,1.25,8.55
2023-01-31,258.0,259.9,249.3,253.0,-0.2,91719.0,23208461.0,2023,1.34,172.38,1.25,8.55
2023-02-01,253.0,257.0,250.5,251.5,-0.59,65997.0,16710451.6,2023,1.34,172.38,1.25,8.55
2023-02-02,256.5,256.5,242.0,245.0,-2.58,94025.0,23316010.5,2023,1.34,172.38,1.25,8.55
2023-02-05,249.0,256.0,241.6,252.4,3.02,127710.0,31926670.9,2023,1.34,172.38,1.25,8.55
2023-02-06,250.0,266.0,248.0,265.0,4.99,206111.0,53579095.1,2023,1.34,172.38,1.25,8.55
2023-02-07,267.0,275.0,265.0,274.0,3.4,213086.0,57823591.0,2023,1.34,172.38,1.25,8.55
2023-02-08,279.4,280.0,267.7,269.0,-1.82,173094.0,47161508.2,2023,1.34,172.38,1.25,8.55
2023-02-09,274.3,274.3,264.0,270.5,0.56,127941.0,34351926.1,2023,1.34,172.38,1.25,8.55
2023-02-12,265.1,267.0,253.7,255.2,-5.66,181118.0,46874005.5,2023,1.34,172.38,1.25,8.55
2023-02-14,258.0,259.0,251.0,254.0,-0.47,81137.0,20643820.6,2023,1.34,172.38,1.25,8.55
2023-02-15,254.0,257.9,250.0,251.0,-1.18,86103.0,21733380.2,2023,1.34,172.38,1.25,8.55
2023-02-16,248.0,254.9,243.2,245.0,-2.39,114623.0,28343936.9,2023,1.34,172.38,1.25,8.55
2023-02-20,245.0,250.9,245.0,247.0,0.82,80651.0,19940136.6,2023,1.34,172.38,1.25,8.55
2023-02-22,250.0,259.5,249.0,259.5,5.06,94693.0,24205294.1,2023,1.34,172.38,1.25,8.55
2023-02-23,256.0,256.0,248.0,251.0,-3.28,74894.0,18807915.5,2023,1.34,172.38,1.25,8.55
2023-02-26,246.0,256.0,236.4,255.0,1.59,157384.0,38803924.8,2023,1.34,172.38,1.25,8.55
2023-02-27,255.0,259.5,243.3,255.0,0.0,141376.0,35399625.1,2023,1.34,172.38,1.25,8.55
2023-02-28,258.9,269.1,256.0,263.0,3.14,286326.0,75511584.6,2023,1.34,172.38,1.25,8.55
2023-03-01,268.2,268.2,255.0,258.0,-1.9,121040.0,31279014.2,2023,1.34,172.38,1.25,8.55
2023-03-02,258.0,258.0,250.1,252.0,-2.33,81397.0,20491523.5,2023,1.34,172.38,1.25,8.55
2023-03-05,248.3,253.0,246.0,246.5,-2.18,85761.0,21289000.9,2023,1.34,172.38,1.25,8.55
2023-03-07,247.0,255.0,245.0,249.0,1.01,52966.0,13266759.6,2023,1.34,172.38,1.25,8.55
2023-03-09,253.9,261.0,253.6,261.0,4.82,112067.0,28877214.6,2023,1.34,172.38,1.25,8.55
2023-03-12,266.2,266.2,252.0,254.0,-2.68,107662.0,27797675.5,2023,1.34,172.38,1.25,8.55
2023-03-13,249.0,256.7,249.0,254.0,0.0,65494.0,16641360.1,2023,1.34,172.38,1.25,8.55
2023-03-14,259.0,259.0,250.0,255.0,0.39,55580.0,14147695.4,2023,1.34,172.38,1.25,8.55
2023-03-15,258.0,258.0,251.0,254.0,-0.39,46342.0,11719165.2,2023,1.34,172.38,1.25,8.55
2023-03-16,252.0,257.0,249.8,253.0,-0.39,67807.0,17114860.0,2023,1.34,172.38,1.25,8.55
2023-03-19,250.1,256.0,250.1,254.0,0.4,55527.0,14038101.8,2023,1.34,172.38,1.25,8.55
2023-03-20,255.5,262.0,254.1,260.0,2.36,87930.0,22704241.0,2023,1.34,172.38,1.25,8.55
2023-03-22,261.0,262.0,253.0,253.4,-2.54,74179.0,19069083.8,2023,1.34,172.38,1.25,8.55
2023-03-23,251.3,254.9,250.0,251.0,-0.95,54989.0,13845918.9,2023,1.34,172.38,1.25,8.55
2023-03-26,251.4,254.0,248.0,249.9,-0.44,68997.0,17254452.2,2023,1.34,172.38,1.25,8.55
2023-03-27,247.0,255.0,246.0,254.0,1.64,70585.0,17666456.0,2023,1.34,172.38,1.25,8.55
2023-03-28,258.0,259.9,252.9,255.0,0.39,77970.0,19953197.8,2023,1.34,172.38,1.25,8.55
2023-03-29,253.0,255.0,251.1,252.9,-0.82,36745.0,9284795.2,2023,1.34,172.38,1.25,8.55
2023-03-30,256.9,256.9,250.1,251.0,-0.75,52530.0,13260924.6,2023,1.34,172.38,1.25,8.55
2023-04-02,255.9,256.0,246.0,247.0,-1.59,55555.0,13890737.2,2023,1.34,172.38,1.25,8.55
2023-04-03,249.0,249.0,244.0,244.1,-1.17,64161.0,15729167.7,2023,1.34,172.38,1.25,8.55
2023-04-04,245.0,247.0,241.3,242.0,-0.86,25968.0,6334780.1,2023,1.34,172.38,1.25,8.55
2023-04-05,241.1,244.9,240.1,244.0,0.83,36953.0,8961909.6,2023,1.34,172.38,1.25,8.55
2023-04-06,247.0,247.0,237.8,238.9,-2.09,52934.0,12730485.6,2023,1.34,172.38,1.25,8.55
2023-04-09,240.0,240.0,231.1,234.0,-2.05,42343.0,9922747.7,2023,1.34,172.38,1.25,8.55
2023-04-10,237.9,239.0,231.0,237.0,1.28,45320.0,10678074.6,2023,1.34,172.38,1.25,8.55
2023-04-11,240.9,240.9,234.3,240.8,1.6,34975.0,8314231.3,2023,1.34,172.38,1.25,8.55
2023-04-12,245.6,257.5,242.0,255.0,5.9,113585.0,28403296.9,2023,1.34,172.38,1.25,8.55
2023-04-13,260.0,264.0,247.5,249.0,-2.35,82445.0,20855233.6,2023,1.34,172.38,1.25,8.55
2023-04-16,247.0,252.0,245.6,246.7,-0.92,43165.0,10724317.8,2023,1.34,172.38,1.25,8.55
2023-04-17,242.0,251.5,240.2,242.9,-1.54,31457.0,7632534.8,2023,1.34,172.38,1.25,8.55
2023-04-18,241.0,244.9,238.1,238.8,-1.69,43974.0,10554853.1,2023,1.34,172.38,1.25,8.55
2023-04-19,242.9,246.9,240.6,245.0,2.6,32352.0,7866136.1,2023,1.34,172.38,1.25,8.55
2023-04-20,247.0,248.0,239.0,239.0,-2.45,33274.0,8023409.7,2023,1.34,172.38,1.25,8.55
2023-04-23,240.0,242.9,236.0,236.6,-1.0,29383.0,6972608.0,2023,1.34,172.38,1.25,8.55
2023-04-24,234.0,240.9,234.0,237.0,0.17,32075.0,7597362.3,2023,1.34,172.38,1.25,8.55
2023-04-25,239.0,242.0,236.0,239.1,0.89,32272.0,7728553.8,2023,1.34,172.38,1.25,8.55
2023-04-26,237.8,243.8,237.5,238.0,-0.46,34741.0,8312922.2,2023,1.34,172.38,1.25,8.55
2023-04-27,237.0,239.9,235.2,235.3,-1.13,14818.0,3502959.9,2023,1.34,172.38,1.25,8.55
2023-04-30,235.0,235.3,232.0,233.0,-0.98,25695.0,6007262.2,2023,1.34,172.38,1.25,8.55
2023-05-02,235.0,237.0,229.2,229.8,-1.37,26084.0,6037341.8,2023,1.34,172.38,1.25,8.55
2023-05-03,231.0,231.0,226.0,226.1,-1.61,15933.0,3613984.4,2023,1.34,172.38,1.25,8.55
2023-05-04,229.0,230.5,223.0,227.0,0.4,28587.0,6482553.2,2023,1.34,172.38,1.25,8.55
2023-05-07,223.2,225.0,222.1,223.9,-1.37,21158.0,4726633.6,2023,1.34,172.38,1.25,8.55
2023-05-08,220.6,224.9,216.0,219.0,-2.19,40390.0,8881031.5,2023,1.34,172.38,1.25,8.55
2023-05-09,222.0,227.4,217.0,225.0,2.74,39238.0,8728250.2,2023,1.34,172.38,1.25,8.55
2023-05-10,222.1,226.0,222.0,222.0,-1.33,22947.0,5117129.9,2023,1.34,172.38,1.25,8.55
2023-05-11,221.0,221.0,217.7,219.0,-1.35,14917.0,3264201.0,2023,1.34,172.38,1.25,8.55
2023-05-14,222.0,222.5,215.6,216.0,-1.37,32817.0,7145001.2,2023,1.34,172.38,1.25,8.55
2023-05-15,217.0,219.8,213.0,213.1,-1.34,26001.0,5603237.9,2023,1.34,172.38,1.25,8.55
2023-05-16,215.0,220.0,213.3,217.9,2.25,23601.0,5123091.7,2023,1.34,172.38,1.25,8.55
2023-05-17,213.7,225.0,213.7,222.8,2.25,32448.0,7223809.1,2023,1.34,172.38,1.25,8.55
2023-05-18,220.0,237.5,220.0,233.0,4.58,110198.0,25244280.6,2023,1.34,172.38,1.25,8.55
2023-05-21,234.9,240.0,227.9,231.0,-0.86,91200.0,21231647.2,2023,1.34,172.38,1.25,8.55
2023-05-22,227.0,234.9,226.5,231.0,0.0,49516.0,11412624.9,2023,1.34,172.38,1.25,8.55
2023-05-23,235.0,239.0,231.2,236.5,2.38,65019.0,15338011.1,2023,1.34,172.38,1.25,8.55
2023-05-24,239.0,239.0,232.3,234.0,-1.06,54538.0,12776412.4,2023,1.34,172.38,1.25,8.55
2023-05-28,238.0,239.0,228.6,229.0,-2.14,78135.0,18235563.0,2023,1.34,172.38,1.25,8.55
2023-05-30,229.9,231.0,224.1,225.9,-1.35,67381.0,15240666.2,2023,1.34,172.38,1.25,8.55
2023-05-31,226.9,226.9,216.2,217.0,-3.94,78290.0,17262589.9,2023,1.34,172.38,1.25,8.55
2023-06-01,221.0,224.0,215.5,221.0,1.84,71316.0,15676654.6,2023,1.34,172.38,1.25,8.55
2023-06-04,225.0,232.0,225.0,229.9,4.03,63190.0,14449454.7,2023,1.34,172.38,1.25,8.55
2023-06-05,230.0,232.0,225.0,225.9,-1.74,68921.0,15769038.2,2023,1.34,172.38,1.25,8.55
2023-06-06,230.4,230.5,222.1,230.1,1.86,54377.0,12418802.9,2023,1.34,172.38,1.25,8.55
2023-06-07,230.1,236.0,226.1,231.2,0.48,66885.0,15596809.9,2023,1.34,172.38,1.25,8.55
2023-06-08,227.8,231.9,227.8,228.5,-1.17,52740.0,12111700.0,2023,1.34,172.38,1.25,8.55
2023-06-11,226.0,235.0,226.0,234.5,2.63,78593.0,18318822.2,2023,1.34,172.38,1.25,8.55
2023-06-12,236.5,238.8,230.5,233.1,-0.6,45326.0,10614263.9,2023,1.34,172.38,1.25,8.55
2023-06-13,235.9,237.9,230.5,234.3,0.51,100538.0,23683707.0,2023,1.34,172.38,1.25,8.55
2023-06-14,235.0,244.2,234.7,237.0,1.15,142879.0,34284235.1,2023,1.34,172.38,1.25,8.55
2023-06-15,239.0,239.8,232.0,236.9,-0.04,63523.0,14980471.2,2023,1.34,172.38,1.25,8.55
2023-06-18,241.5,243.7,233.1,241.0,1.73,138697.0,33154654.5,2023,1.34,172.38,1.25,8.55
2023-06-19,242.0,244.0,237.0,237.0,-1.66,56696.0,13549380.8,2023,1.34,172.38,1.25,8.55
2023-06-20,237.0,240.0,228.0,229.9,-3.0,65103.0,15190309.1,2023,1.34,172.38,1.25,8.55
2023-06-21,230.0,233.0,225.0,226.9,-1.3,93408.0,21296848.2,2023,1.34,172.38,1.25,8.55
2023-06-22,227.0,229.0,220.6,223.9,-1.32,100347.0,22483719.6,2023,1.34,172.38,1.25,8.55
2023-06-25,225.0,231.0,221.0,230.0,2.72,115526.0,26032532.1,2023,1.34,172.38,1.25,8.55
2023-06-26,232.0,234.4,224.1,225.9,-1.78,89830.0,20478229.0,2023,1.34,172.38,1.25,8.55
2023-06-27,226.3,232.5,222.2,232.0,2.7,116767.0,26731636.6,2023,1.34,172.38,1.25,8.55
2023-06-28,233.0,234.7,226.0,227.5,-1.94,74975.0,17168226.1,2023,1.34,172.38,1.25,8.55
2023-07-02,228.0,232.0,220.0,221.9,-2.46,73430.0,16402263.7,2023,1.34,172.38,1.25,8.55
2023-07-03,219.0,225.0,216.0,217.9,-1.8,83164.0,18242082.6,2023,1.34,172.38,1.25,8.55
2023-07-04,222.2,222.2,215.3,217.0,-0.41,53629.0,11637356.7,2023,1.34,172.38,1.25,8.55
2023-07-05,217.1,219.9,212.2,212.2,-2.21,56383.0,12108100.7,2023,1.34,172.38,1.25,8.55
2023-07-06,212.2,215.9,210.2,212.4,0.09,63868.0,13603636.0,2023,1.34,172.38,1.25,8.55
2023-07-09,215.0,216.9,212.6,213.0,0.28,50170.0,10742399.4,2023,1.34,172.38,1.25,8.55
2023-07-10,212.0,216.8,208.6,211.0,-0.94,70382.0,14902129.4,2023,1.34,172.38,1.25,8.55
