published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
5/26/2011,992,973,973,973,nan,91,88543,0
5/30/2011,973,990,950,990,1.75,138,132510,0
5/31/2011,990,1000,971,1000,1.01,32,31578,0
6/1/2011,1000,999,980,980,-2,166,164140,0
6/2/2011,980,1075,1009,1075,9.69,103,106627,0
6/5/2011,1075,1054,973,973,-9.49,592,589422,0
6/6/2011,973,954,876,895,-8.02,2984,2669167,0
6/7/2011,895,899,856,899,0.45,1046,906909,0
6/8/2011,899,901,855,901,0.22,1194,1048085,0
6/9/2011,901,905,851,905,0.44,940,820491,0
6/12/2011,905,920,910,920,1.66,20,18300,0
6/14/2011,920,938,902,920,0,220,199160,0
6/15/2011,920,902,828,828,-10,402,337115,0
6/16/2011,828,876,781,876,5.8,887,717943,0
6/19/2011,876,946,893,925,5.59,941,853153,0
6/20/2011,876,946,893,925,0,941,853153,0
6/21/2011,1017,1072,975,1072,15.89,2336,2324288,0
6/23/2011,1072,1166,1070,1166,8.77,2004,2182494,0
6/26/2011,1166,1188,1078,1078,-7.55,570,649640,0
6/27/2011,1078,1057,977,977,-9.37,222,227561,0
6/29/2011,977,1074,927,1053,7.78,1286,1265510,0
6/30/2011,1053,1058,948,1057,0.38,1395,1384664,0
7/3/2011,1057,1074,1074,1074,1.61,12,12888,0
7/4/2011,1074,1053,967,967,-9.96,1136,1103985,0
7/5/2011,967,986,930,980,1.34,5548,5286319,0
7/6/2011,980,1009,950,988,0.82,2431,2353060,0
7/7/2011,988,1005,970,970,-1.82,119,116095,0
7/10/2011,970,1007,969,1006,3.71,534,523505,0
7/11/2011,1006,1026,980,980,-2.58,342,341324,0
7/12/2011,980,1004,977,1004,2.45,1061,1048257,0
7/13/2011,1004,1080,1000,1080,7.57,447,460568,0
7/14/2011,1080,1095,995,1094,1.3,688,717656,0
7/17/2011,1094,1195,1110,1195,9.23,505,575040,0
7/18/2011,1195,1218,1076,1076,-9.96,290,322126,0
7/19/2011,1076,1060,1042,1055,-1.95,1097,1154529,0
7/20/2011,1055,1076,1047,1055,0,2734,2887031,0
7/21/2011,1055,1081,1051,1055,0,1522,1611744,0
7/24/2011,1055,1076,1005,1022,-3.13,903,923684,0
7/25/2011,1022,1002,1000,1000,-2.15,40,40040,0
7/26/2011,1000,1000,1000,1000,0,252,252000,0
7/27/2011,1000,1054,980,1054,5.4,2318,2333240,0
7/28/2011,1054,1040,1006,1040,-1.33,490,502039,0
7/31/2011,1040,1032,1012,1012,-2.69,347,354362,0
8/1/2011,1012,1012,1010,1012,0,116,117192,0
8/2/2011,1012,1011,981,1011,-0.1,1032,1024413,0
8/3/2011,1011,1020,980,1010,-0.1,453,447970,0
8/4/2011,1010,1025,990,1025,1.49,297,295917,0
8/7/2011,1025,1005,985,1004,-2.05,218,215320,0
8/8/2011,1004,1024,962,970,-3.39,1463,1426511,0
8/9/2011,970,972,951,972,0.21,1025,978923,0
