published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
6/5/2011,132,134,128,128,nan,810,105900,0
6/6/2011,128,130,123,123,-3.91,1990,255370,0
6/7/2011,123,122,116,116,-5.69,1980,233910,0
6/8/2011,116,118,112,112,-3.45,590,67160,0
6/9/2011,112,114,112,112,0,60,6800,0
6/12/2011,112,111,108,111,-0.89,370,40480,0
6/13/2011,111,110,106,106,-4.5,1470,159890,0
6/14/2011,106,108,107,107,0.94,620,66380,0
6/15/2011,107,109,107,107,0,440,47560,0
6/16/2011,107,113,106,113,5.61,990,110960,0
6/19/2011,113,124,113,124,9.73,210,25180,0
6/20/2011,113,124,113,124,0,210,25180,0
6/21/2011,135,140,136,140,12.9,1010,140340,0
6/23/2011,140,154,142,154,10,2890,436150,0
6/26/2011,154,151,151,151,-1.95,100,15100,0
6/27/2011,151,148,146,146,-3.31,40,5860,0
6/29/2011,146,146,146,146,0,40,5840,0
6/30/2011,146,139,135,135,-7.53,1200,165640,0
7/4/2011,135,129,129,129,-4.44,280,36120,0
7/5/2011,129,127,123,123,-4.65,250,31250,0
7/6/2011,123,131,117,129,4.88,850,105390,0
7/7/2011,129,129,127,127,-1.55,140,17920,0
7/10/2011,127,125,123,125,-1.57,300,37350,0
7/11/2011,125,131,125,130,4,1010,128240,0
7/12/2011,130,132,128,128,-1.54,1210,157120,0
7/13/2011,128,135,130,132,3.12,1260,165900,0
7/14/2011,132,134,130,130,-1.52,430,56540,0
7/18/2011,130,136,132,134,3.08,680,91120,0
7/19/2011,134,138,134,138,2.99,870,118120,0
7/20/2011,138,140,136,140,1.45,630,87480,0
7/21/2011,140,144,142,142,1.43,170,24180,0
7/24/2011,142,142,134,134,-5.63,760,106120,0
7/25/2011,134,132,128,128,-4.48,160,20840,0
7/26/2011,128,132,128,132,3.12,990,129760,0
7/27/2011,132,138,131,138,4.55,1030,137400,0
7/28/2011,138,136,133,134,-2.9,1080,145660,0
7/31/2011,134,134,130,132,-1.49,460,60380,0
8/1/2011,132,141,132,140,6.06,3220,442180,0
8/2/2011,140,140,135,135,-3.57,1560,215440,0
8/3/2011,135,136,132,136,0.74,1230,165850,0
8/4/2011,136,141,137,139,2.21,2930,402650,0
8/7/2011,139,140,135,136,-2.16,3000,409140,0
8/8/2011,136,136,134,135,-0.74,4610,626030,0
8/9/2011,135,136,134,136,0.74,810,109610,0
8/10/2011,136,137,132,136,0,1260,169420,0
8/11/2011,136,139,136,138,1.47,3860,531810,0
8/15/2011,138,140,137,140,1.45,1950,271310,0
8/16/2011,140,142,138,138,-1.43,1030,144280,0
8/17/2011,138,141,136,137,-0.72,5710,787920,0
8/18/2011,137,141,136,141,2.92,2140,295630,0
8/22/2011,141,140,137,139,-1.42,1340,185790,0
8/23/2011,139,142,135,140,0.72,6350,884170,0
8/24/2011,140,142,139,142,1.43,1700,238530,0
8/25/2011,142,141,136,141,-0.7,820,114010,0
8/28/2011,141,139,135,135,-4.26,250,33970,0
8/29/2011,135,135,133,135,0,680,91020,0
8/30/2011,135,143,137,142,5.19,770,108690,0
9/1/2011,142,140,138,138,-2.82,150,20960,0
9/4/2011,138,142,138,139,0.72,5540,774340,0
9/5/2011,139,141,137,139,0,4340,602430,0
9/6/2011,139,141,138,138,-0.72,2900,404190,0
9/7/2011,138,140,139,139,0.72,1940,270380,0
9/8/2011,139,142,137,137,-1.44,1630,227980,0
9/12/2011,137,137,129,134,-2.19,2270,304790,0
9/13/2011,134,132,130,131,-2.24,310,40580,0
9/14/2011,131,133,130,133,1.53,720,94960,0
9/15/2011,133,135,129,129,-3.01,470,61690,0
9/18/2011,129,130,128,130,0.78,330,42480,0
9/19/2011,130,135,130,135,3.85,160,21220,0
9/20/2011,135,143,137,140,3.7,1500,210160,0
9/21/2011,140,142,139,140,0,1060,148800,0
9/22/2011,140,145,142,145,3.57,740,106760,0
9/25/2011,145,145,143,143,-1.38,110,15810,0
9/26/2011,143,143,143,143,0,90,12870,0
9/27/2011,143,141,137,137,-4.2,290,40330,0
9/29/2011,137,141,139,140,2.19,1760,246300,0
10/9/2011,140,140,139,140,0,60,8360,0
10/10/2011,140,140,138,140,0,340,47400,0
10/12/2011,140,138,136,138,-1.43,120,16440,0
10/13/2011,138,139,137,139,0.72,1610,220770,0
10/16/2011,139,141,137,140,0.72,540,74430,0
10/17/2011,140,140,138,138,-1.43,280,38880,0
10/18/2011,138,137,134,137,-0.72,160,21780,0
10/19/2011,137,136,136,136,-0.73,40,5440,0
10/20/2011,136,140,134,140,2.94,360,49600,0
10/23/2011,140,140,136,136,-2.86,690,96300,0
10/24/2011,136,139,136,137,0.74,590,80720,0
10/25/2011,137,139,139,139,1.46,20,2780,0
10/30/2011,139,139,139,139,0,600,83400,0
10/31/2011,139,139,139,139,0,120,16680,0
11/2/2011,139,141,141,141,1.44,10,1410,0
11/3/2011,141,147,139,140,-0.71,1210,173710,0
11/6/2011,140,143,140,142,1.43,2090,296790,0
11/8/2011,142,143,141,141,-0.7,260,36920,0
11/9/2011,141,141,139,139,-1.42,1040,146440,0
11/10/2011,139,139,138,138,-0.72,610,84340,0
11/13/2011,138,145,140,143,3.62,2000,285790,0
11/14/2011,143,144,140,142,-0.7,3150,449600,0
11/15/2011,142,142,140,140,-1.41,550,77900,0
11/16/2011,140,142,139,141,0.71,910,128260,0
11/17/2011,141,142,139,140,-0.71,2790,392550,0
11/20/2011,140,141,137,139,-0.71,860,119460,0
11/21/2011,139,140,137,140,0.72,3320,460960,0
11/22/2011,140,140,140,140,0,60,8400,0
11/23/2011,140,139,129,129,-7.86,280,38020,0
11/24/2011,129,127,121,121,-6.2,270,33290,0
11/27/2011,121,119,119,119,-1.65,20,2380,0
11/28/2011,119,117,115,115,-3.36,70,8110,0
12/4/2011,115,119,115,119,3.48,260,30300,0
12/6/2011,119,120,120,120,0.84,20,2400,0
12/7/2011,120,120,120,120,0,80,9600,0
12/8/2011,120,121,119,119,-0.83,110,13250,0
12/11/2011,119,121,121,121,1.68,300,36300,0
12/13/2011,121,120,113,113,-6.61,1310,152440,0
12/14/2011,113,115,111,115,1.77,600,68300,0
12/15/2011,115,116,114,116,0.87,290,33600,0
