published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
9/26/2017,216,218,214,218,nan,10633,2293346,0
10/3/2017,218,218,213,217,-0.46,2751,590465,0
10/4/2017,217,222,215,215,-0.92,6871,1497538,0
10/8/2017,215,212,203,211,-1.86,12008,2473364,0
10/9/2017,211,212,204,206,-2.37,7255,1502034,0
10/10/2017,206,211,205,207,0.49,5882,1227017,0
10/11/2017,207,210,204,207,0,5223,1084219,0
10/12/2017,207,209,207,209,0.97,2728,565819,0
10/15/2017,209,213,207,208,-0.48,4111,856961,0
10/16/2017,208,217,208,217,4.33,6763,1440927,0
10/17/2017,217,221,212,213,-1.84,3147,671575,0
10/18/2017,213,217,211,217,1.88,10641,2278447,0
10/22/2017,217,223,217,218,0.46,4750,1039752,0
10/23/2017,218,216,214,216,-0.92,8048,1729656,0
10/24/2017,216,217,212,217,0.46,8416,1802507,0
10/25/2017,217,215,212,213,-1.84,2494,533263,0
10/29/2017,213,215,211,211,-0.94,4124,872310,0
10/30/2017,211,213,208,211,0,5957,1259017,0
10/31/2017,211,212,209,210,-0.47,1228,257977,0
11/1/2017,210,209,206,208,-0.95,8997,1867263,0
11/2/2017,208,209,206,208,0,6568,1363161,0
11/5/2017,208,208,203,205,-1.44,11845,2426994,0
11/6/2017,205,209,200,202,-1.46,16064,3266407,0
11/7/2017,202,207,201,202,0,7720,1565495,0
11/8/2017,202,203,200,200,-0.99,10537,2119221,0
11/9/2017,200,204,197,200,0,12107,2415598,0
11/12/2017,200,205,200,205,2.5,6391,1284381,0
11/13/2017,205,206,200,203,-0.98,3313,669171,0
11/14/2017,203,205,202,205,0.99,13191,2681645,0
11/15/2017,205,206,201,202,-1.46,4215,852353,0
11/16/2017,202,202,199,199,-1.49,7950,1590012,0
11/19/2017,199,197,195,195,-2.01,6493,1269310,0
11/20/2017,195,197,195,195,0,3732,728340,0
11/21/2017,195,197,192,192,-1.54,7785,1513554,0
11/22/2017,192,195,190,195,1.56,16639,3182135,0
11/23/2017,195,196,191,194,-0.51,10125,1954708,0
11/26/2017,194,199,193,199,2.58,7093,1393589,0
11/27/2017,199,198,192,192,-3.52,13620,2644781,0
11/28/2017,192,196,193,195,1.56,4445,862830,0
11/29/2017,195,201,193,193,-1.03,12044,2352987,0
11/30/2017,193,196,191,193,0,11202,2181105,0
12/4/2017,193,197,193,196,1.55,4879,950476,0
12/5/2017,196,198,193,194,-1.02,3183,617246,0
12/6/2017,194,199,194,199,2.58,6643,1304041,0
12/10/2017,199,202,191,194,-2.51,19133,3748102,0
12/11/2017,194,195,192,193,-0.52,7804,1508152,0
12/12/2017,193,194,190,194,0.52,13955,2673555,0
12/13/2017,194,195,191,192,-1.03,2131,411138,0
12/14/2017,192,193,189,193,0.52,5148,978509,0
12/17/2017,193,196,191,195,1.04,10321,2005245,0
12/18/2017,195,194,191,191,-2.05,6507,1255992,0
12/19/2017,191,192,189,190,-0.52,14384,2729430,0
12/20/2017,190,191,187,190,0,1704,321327,0
12/21/2017,190,193,187,190,0,6024,1130482,0
12/24/2017,190,189,185,185,-2.63,3509,654299,0
12/26/2017,185,188,183,185,0,17861,3299794,0
12/27/2017,185,185,177,177,-4.32,17070,3073082,0
12/28/2017,177,178,173,174,-1.69,12381,2164894,0
12/31/2017,174,177,172,177,1.72,6510,1128635,0
1/1/2018,177,183,172,182,2.82,14498,2560871,0
1/2/2018,182,183,176,179,-1.65,9568,1728857,0
1/3/2018,179,179,174,177,-1.12,6772,1193706,0
1/4/2018,177,179,174,175,-1.13,7766,1364674,0
1/7/2018,175,176,173,174,-0.57,11665,2031110,0
1/8/2018,174,180,176,179,2.87,8284,1470498,0
1/9/2018,179,182,177,178,-0.56,8927,1600751,0
1/10/2018,178,179,174,179,0.56,12521,2216119,0
1/14/2018,179,179,173,175,-2.23,12179,2129858,0
1/16/2018,175,175,168,175,0,51856,8826746,0
1/17/2018,165,168,156,161,-8,12215,1942644,0
1/21/2018,161,162,156,158,-1.86,4398,691568,0
1/22/2018,158,170,155,170,7.59,13749,2203272,0
1/23/2018,170,167,161,164,-3.53,6111,994061,0
1/24/2018,164,163,160,161,-1.83,7786,1256726,0
1/25/2018,161,165,161,164,1.86,7200,1173681,0
1/28/2018,164,167,162,162,-1.22,16245,2673547,0
1/29/2018,162,167,161,165,1.85,15792,2612611,0
1/31/2018,165,166,163,166,0.61,3574,590505,0
2/1/2018,166,169,165,167,0.6,4312,718236,0
2/4/2018,167,168,165,166,-0.6,4970,825604,0
2/5/2018,166,167,164,164,-1.2,7246,1192062,0
2/6/2018,164,164,162,162,-1.22,8133,1322592,0
2/7/2018,162,165,160,161,-0.62,4684,758584,0
2/8/2018,161,163,161,162,0.62,3816,616868,0
2/11/2018,162,164,162,162,0,3559,577678,0
2/12/2018,162,165,161,165,1.85,5787,940670,0
2/14/2018,165,165,161,165,0,5939,967186,0
2/15/2018,165,170,165,170,3.03,15960,2685860,0
2/18/2018,173,173,167,167,-1.76,12374,2077143,-1
2/20/2018,170,173,164,164,-1.8,4917,812955,-1
2/21/2018,164,165,162,163,-0.61,4196,683126,-1
2/22/2018,162,165,162,164,0.61,10102,1648421,1
2/25/2018,164,165,162,162,-1.22,3524,576195,-1
2/26/2018,160,163,160,161,-0.62,12149,1958192,-1
2/27/2018,161,164,160,160,-0.62,14687,2366458,-1
2/28/2018,162,162,158,158,-1.25,13147,2094072,-1
3/4/2018,157,160,153,157,-0.63,16652,2580433,-1
3/5/2018,160,160,153,153,-2.55,8549,1324192,-1
3/6/2018,155,159,152,155,1.31,15596,2433638,1
3/7/2018,155,161,155,157,1.29,8461,1338222,1
3/11/2018,157,157,153,153,-2.55,8722,1341158,-1
