published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
2/7/2021,665,726,656,694,2.66,25785,17529590,1
2/8/2021,685,701,660,675,-2.74,26305,17664812,-1
2/9/2021,707,707,634,645,-4.44,31817,20460763,-1
2/10/2021,677,677,622,640,-0.78,26200,16625840,-1
2/11/2021,628,640,618,620,-3.13,15428,9651278,-1
2/14/2021,615,630,604,613,-1.13,20260,12468905,-1
2/15/2021,610,650,610,643,4.89,40120,25531595,1
2/16/2021,643,650,627,650,1.09,28531,18248439,1
2/17/2021,637,648,629,635,-2.31,34932,22081999,-1
2/18/2021,630,659,630,650,2.36,21616,14019460,1
2/21/2021,661,670,634,650,0,41465,26973565,0
2/22/2021,660,663,637,647,-0.46,18510,11981275,-1
2/23/2021,635,647,635,645,-0.31,17585,11228710,-1
2/24/2021,645,655,635,646,0.16,20264,13170356,1
2/25/2021,650,650,636,643,-0.46,13120,8389920,-1
2/28/2021,632,633,615,622,-3.27,14411,8992091,-1
3/1/2021,612,635,600,625,0.48,14902,9208702,1
3/2/2021,656,656,617,618,-1.12,8426,5265118,-1
3/3/2021,608,642,608,624,0.97,16220,10108435,1
3/4/2021,624,646,624,643,3.04,12160,7780150,1
3/7/2021,635,643,635,637,-0.93,7910,5052140,-1
3/9/2021,625,641,625,640,0.47,14810,9443910,1
3/10/2021,635,663,631,657,2.66,13721,8908995,1
3/14/2021,634,710,634,696,5.94,44120,30681291,1
3/15/2021,730,730,671,681,-2.16,25060,17068440,-1
3/16/2021,670,693,667,672,-1.32,8842,5937431,-1
3/17/2021,659,685,647,667,-0.74,7630,5109400,-1
3/18/2021,654,678,654,674,1.05,6396,4282673,1
3/21/2021,661,691,630,680,0.89,21793,14478106,1
3/22/2021,680,690,654,685,0.74,12700,8654601,1
3/23/2021,651,716,651,715,4.38,43777,30809123,1
3/24/2021,715,725,696,705,-1.4,18923,13427680,-1
3/25/2021,730,735,680,697,-1.13,10820,7510274,-1
3/29/2021,690,697,677,683,-2.01,13610,9328085,-1
3/30/2021,680,707,659,690,1.02,5594,3821661,1
3/31/2021,680,695,680,689,-0.14,7189,4950243,-1
4/1/2021,676,702,676,702,1.89,17953,12508596,1
4/4/2021,701,707,690,704,0.28,9826,6873624,1
4/5/2021,705,718,691,708,0.57,11655,8172016,1
4/6/2021,700,738,696,714,0.85,14289,10199742,1
4/7/2021,702,750,702,727,1.82,23145,16880665,1
