published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
12/27/2011,148,148,146,146,nan,380,55700,0
12/28/2011,146,144,141,142,-2.74,670,95300,0
12/29/2011,142,144,143,144,1.41,1510,217330,0
1/1/2012,144,150,146,146,1.39,1820,268890,0
1/2/2012,146,150,142,148,1.37,450,65460,0
1/3/2012,148,154,145,151,2.03,950,142110,0
1/4/2012,151,150,148,150,-0.66,1590,237820,0
1/5/2012,150,152,151,152,1.33,940,142760,0
1/8/2012,152,153,149,153,0.66,990,149570,0
1/9/2012,153,158,153,156,1.96,970,150230,0
1/10/2012,152,160,156,160,2.56,700,110380,0
1/11/2012,160,164,157,164,2.5,1000,158270,0
1/12/2012,164,165,160,161,-1.83,1700,275350,0
1/16/2012,161,161,159,159,-1.24,1100,175880,0
1/17/2012,159,158,156,157,-1.26,1310,206000,0
1/18/2012,157,161,157,161,2.55,1200,191390,0
1/19/2012,161,160,160,160,-0.62,530,84800,0
1/22/2012,160,160,159,159,-0.62,1000,159100,0
1/23/2012,159,157,154,157,-1.26,580,89980,0
1/25/2012,157,155,154,155,-1.27,140,21590,0
1/26/2012,155,160,155,157,1.29,300,47040,0
1/29/2012,157,165,160,163,3.82,1610,262350,0
1/31/2012,163,166,162,162,-0.61,1390,227300,0
2/1/2012,162,165,162,164,1.23,60,9820,0
2/2/2012,164,165,162,165,0.61,620,101700,0
2/5/2012,165,165,160,165,0,430,69360,0
2/6/2012,165,165,160,161,-2.42,810,131090,0
2/7/2012,161,163,161,161,0,510,82550,0
2/8/2012,161,165,162,162,0.62,2320,377060,0
2/9/2012,162,163,160,162,0,560,90210,0
2/12/2012,162,161,161,161,-0.62,390,62790,0
2/13/2012,161,169,160,162,0.62,290,47370,0
2/14/2012,162,160,159,159,-1.85,250,39800,0
2/15/2012,159,162,153,162,1.89,850,135530,0
2/16/2012,162,160,159,160,-1.23,730,116470,0
2/21/2012,160,164,159,164,2.5,1940,310150,0
2/23/2012,164,166,160,160,-2.44,800,130800,0
2/26/2012,160,162,159,162,1.25,100,15960,0
2/27/2012,162,161,160,161,-0.62,1150,184240,0
2/28/2012,161,161,160,161,0,60,9630,0
2/29/2012,161,167,164,167,3.73,40,6620,0
3/1/2012,167,165,162,162,-2.99,230,37860,0
3/5/2012,162,165,163,163,0.62,340,55500,0
3/6/2012,163,171,161,171,4.91,300,50230,0
3/11/2012,171,174,165,165,-3.51,620,102630,0
3/12/2012,165,164,162,164,-0.61,30,4900,0
3/13/2012,164,170,165,170,3.66,490,82120,0
3/14/2012,170,173,167,169,-0.59,1550,260930,0
3/15/2012,169,172,169,170,0.59,1260,215520,0
3/18/2012,170,171,168,170,0,370,62930,0
3/19/2012,170,173,170,170,0,60,10260,0
3/20/2012,170,169,167,168,-1.18,280,47120,0
3/21/2012,168,171,160,171,1.79,1130,190210,0
3/25/2012,171,168,162,166,-2.92,860,141720,0
3/26/2012,166,168,167,168,1.2,190,31910,0
3/27/2012,168,169,169,169,0.6,270,45630,0
3/28/2012,169,170,170,170,0.59,100,17000,0
3/29/2012,170,167,167,167,-1.76,120,20040,0
4/1/2012,167,168,165,168,0.6,290,47880,0
4/2/2012,168,171,169,171,1.79,1430,242630,0
4/3/2012,171,172,170,170,-0.58,1350,230300,0
4/4/2012,170,176,170,170,0,1290,219640,0
4/5/2012,170,169,168,169,-0.59,80,13480,0
4/8/2012,169,175,170,175,3.55,700,119740,0
4/9/2012,175,181,175,179,2.29,850,151890,0
4/10/2012,179,185,176,179,0,1490,264440,0
4/11/2012,179,194,182,194,8.38,1160,221260,0
4/12/2012,194,200,184,191,-1.55,2510,476830,0
4/15/2012,191,200,194,197,3.14,180,35520,0
4/16/2012,197,200,200,200,1.52,1310,262000,0
4/17/2012,200,212,196,196,-2,2780,573500,0
4/18/2012,196,214,193,210,7.14,2130,438920,0
4/19/2012,210,222,209,209,-0.48,2070,444760,0
4/22/2012,209,229,213,229,9.57,300,66020,0
4/24/2012,229,251,233,251,9.61,320,77820,0
4/25/2012,251,271,256,271,7.97,170,44020,0
4/26/2012,271,291,276,291,7.38,1810,504700,0
4/29/2012,291,307,279,279,-4.12,3240,933950,0
4/30/2012,279,274,252,270,-3.23,2230,573210,0
5/2/2012,270,265,265,265,-1.85,20,5300,0
5/3/2012,265,280,270,280,5.66,1160,321150,0
5/7/2012,280,285,285,285,1.79,30,8550,0
5/8/2012,285,284,279,279,-2.11,2330,654550,0
5/9/2012,279,277,267,272,-2.51,2450,665080,0
5/10/2012,272,267,248,255,-6.25,3370,871570,0
5/13/2012,255,256,240,241,-5.49,430,105510,0
5/14/2012,241,237,229,233,-3.32,150,34830,0
5/15/2012,233,249,237,249,6.87,450,107090,0
5/16/2012,249,268,253,268,7.63,880,224240,0
5/17/2012,268,288,273,288,7.46,1340,368920,0
5/20/2012,288,283,260,260,-9.72,1330,358350,0
5/21/2012,260,266,245,259,-0.38,2080,537520,0
5/22/2012,259,259,249,256,-1.16,270,69000,0
5/23/2012,256,251,242,242,-5.47,40,9850,0
5/24/2012,242,251,234,250,3.31,2730,680240,0
5/27/2012,250,270,255,270,8,760,198470,0
5/29/2012,270,265,245,245,-9.26,50,12750,0
5/30/2012,245,241,221,221,-9.8,2700,597980,0
5/31/2012,221,243,217,231,4.52,2760,624490,0
6/3/2012,231,247,235,247,6.93,430,105010,0
6/4/2012,247,253,245,253,2.43,680,169640,0
6/5/2012,253,248,238,239,-5.53,2300,553530,0
6/6/2012,239,245,229,234,-2.09,1520,357390,0
6/7/2012,234,248,233,248,5.98,850,203500,0
6/10/2012,248,260,225,230,-7.26,2410,569680,0
6/11/2012,230,234,234,234,1.74,390,91260,0
6/12/2012,234,233,222,233,-0.43,190,43400,0
6/13/2012,233,238,235,236,1.29,1530,362390,0
6/14/2012,236,233,226,226,-4.24,780,179580,0
6/17/2012,226,233,225,233,3.1,210,47370,0
6/19/2012,233,232,227,232,-0.43,1190,274480,0
6/20/2012,232,239,232,232,0,550,128900,0
6/21/2012,232,234,230,232,0,380,88200,0
6/25/2012,232,251,236,251,8.19,120,28770,0
6/28/2012,251,253,242,242,-3.59,190,47000,0
7/1/2012,242,245,241,242,0,380,91780,0
7/2/2012,242,240,239,239,-1.24,610,146050,0
7/3/2012,239,241,238,241,0.84,450,108330,0
7/4/2012,241,245,239,239,-0.83,500,120820,0
7/5/2012,239,242,239,241,0.84,1640,394160,0
7/8/2012,241,241,239,241,0,320,76620,0
7/9/2012,241,248,240,248,2.9,470,112920,0
7/10/2012,248,259,252,253,2.02,280,71110,0
7/11/2012,253,258,253,256,1.19,1580,402650,0
7/12/2012,256,261,255,256,0,4100,1048500,0
7/15/2012,256,273,251,273,6.64,1370,351730,0
7/16/2012,273,268,248,248,-9.16,1190,296980,0
7/17/2012,248,262,250,260,4.84,1340,344280,0
7/18/2012,260,276,260,271,4.23,1260,337960,0
7/19/2012,271,298,276,289,6.64,5870,1683230,0
7/22/2012,289,295,282,292,1.04,470,136460,0
7/23/2012,292,297,292,295,1.03,3460,1018760,0
7/24/2012,295,291,276,290,-1.69,1650,473040,0
7/25/2012,290,300,294,295,1.72,4180,1240840,0
7/26/2012,295,299,293,299,1.36,3130,924330,0
7/29/2012,299,299,285,290,-3.01,1600,468200,0
7/30/2012,290,294,286,289,-0.34,1450,418610,0
7/31/2012,289,292,288,288,-0.35,1930,558070,0
8/1/2012,288,292,287,290,0.69,2180,631340,0
8/5/2012,290,295,286,290,0,430,125190,0
8/6/2012,290,300,290,297,2.41,3100,907110,0
8/7/2012,297,296,294,294,-1.01,550,162700,0
8/8/2012,294,297,293,295,0.34,990,291930,0
8/12/2012,295,290,285,285,-3.39,140,40350,0
8/13/2012,285,285,276,284,-0.35,1480,417050,0
8/14/2012,284,289,279,289,1.76,530,151070,0
8/15/2012,289,286,280,280,-3.11,410,115530,0
8/16/2012,280,285,272,278,-0.71,1350,375550,0
8/19/2012,278,284,274,284,2.16,120,33480,0
8/21/2012,284,293,284,292,2.82,2670,774030,0
8/22/2012,292,302,296,296,1.37,90,26710,0
8/23/2012,296,291,287,291,-1.69,1040,301360,0
8/26/2012,291,292,282,292,0.34,170,49030,0
8/27/2012,292,295,291,292,0,1140,334300,0
8/28/2012,292,295,295,295,1.03,360,106200,0
8/29/2012,295,294,285,294,-0.34,620,178980,0
8/30/2012,294,295,292,293,-0.34,730,214660,0
9/2/2012,293,322,297,322,9.9,7250,2283670,0
9/3/2012,322,343,316,325,0.93,13090,4271950,0
9/4/2012,325,336,326,330,1.54,10580,3480820,0
9/5/2012,330,330,315,320,-3.03,7230,2318230,0
9/6/2012,320,331,320,326,1.88,5960,1944930,0
9/9/2012,326,320,315,316,-3.07,1850,585930,0
9/10/2012,316,321,319,320,1.27,1590,508290,0
9/11/2012,320,326,321,326,1.88,800,259770,0
9/12/2012,326,326,320,324,-0.61,3750,1207190,0
9/13/2012,324,326,320,323,-0.31,470,151280,0
9/16/2012,323,325,320,324,0.31,3100,998360,0
9/17/2012,324,320,315,318,-1.85,2310,732920,0
9/18/2012,318,334,320,334,5.03,500,161990,0
9/19/2012,334,334,326,326,-2.4,950,311690,0
9/20/2012,326,324,323,324,-0.61,1310,424210,0
9/23/2012,324,331,323,326,0.62,2620,855330,0
9/24/2012,326,324,322,324,-0.61,540,174840,0
9/25/2012,324,325,320,322,-0.62,1320,425420,0
9/26/2012,322,336,319,321,-0.31,6870,2226570,0
9/30/2012,317,320,318,318,-0.93,1630,519880,0
10/1/2012,318,333,309,333,4.72,3980,1245140,0
10/1/2012,318,333,309,333,0,3980,1245140,0
10/2/2012,333,327,303,307,-7.81,11280,3443590,0
10/3/2012,307,303,292,296,-3.58,6880,2042410,0
10/4/2012,296,323,290,323,9.12,6330,1881260,0
10/7/2012,323,259,238,238,-26.32,140,34020,0
10/8/2012,238,234,218,218,-8.4,470,106580,0
10/9/2012,218,215,215,215,-1.38,10,2150,0
10/11/2012,215,211,211,211,-1.86,10,2110,0
10/14/2012,211,215,213,215,1.9,440,93960,0
10/15/2012,215,213,213,213,-0.93,40,8520,0
10/18/2012,213,213,213,213,0,20,4260,0
10/30/2012,213,215,215,215,0.94,180,38700,0
11/1/2012,215,235,219,235,9.3,50,11350,0
11/4/2012,235,256,239,256,8.94,100,24910,0
11/5/2012,256,281,261,281,9.77,1770,496820,0
11/6/2012,281,301,281,281,0,2220,637080,0
11/7/2012,281,291,285,290,3.2,1350,387740,0
11/8/2012,290,298,294,294,1.38,660,195650,0
11/11/2012,294,290,290,290,-1.36,100,29000,0
11/12/2012,290,285,275,284,-2.07,250,69540,0
11/18/2012,284,284,284,284,0,50,14200,0
11/20/2012,284,288,275,275,-3.17,720,204130,0
11/21/2012,275,272,272,272,-1.09,60,16320,0
11/22/2012,272,275,267,274,0.74,950,256720,0
11/25/2012,274,269,264,264,-3.65,30,7970,0
11/26/2012,264,268,268,268,1.52,300,80400,0
11/27/2012,268,263,258,263,-1.87,120,31510,0
11/28/2012,263,263,250,250,-4.94,3230,823990,0
11/29/2012,250,255,250,255,2,120,30300,0
12/2/2012,255,250,250,250,-1.96,110,27500,0
