published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
12/8/2021,622.3,634,594,595,-6.3,31289,18929146,-1
12/9/2021,595,619,572,581,-2.35,44125,25700423,-1
12/12/2021,570.1,584.6,545,545,-6.2,39265,21998112.2,-1
12/13/2021,535,542,500,513,-5.87,38196,19595979.6,-1
12/14/2021,505,564,505,563,9.75,14615,7901219,1
12/15/2021,566,600,545,548,-2.66,30603,17373730.2,-1
12/16/2021,548,570,523,540,-1.46,36059,19324673.7,-1
12/20/2021,530,545.2,514,524.5,-2.87,18596,9764185.6,-1
12/21/2021,514.1,540,514.1,533.2,1.66,23307,12306574.5,1
12/22/2021,522.6,560,522.6,558.9,4.82,25566,14142929.3,1
12/23/2021,565,571.5,540.2,551,-1.41,41614,23228297.5,-1
12/26/2021,551,572,542.1,557,1.09,27500,15203716.8,1
12/27/2021,555,564,530,533.2,-4.27,50149,27239805.4,-1
12/28/2021,523,540,515,537,0.71,21213,11283709,1
12/29/2021,537,548,530,545,1.49,16170,8739423,1
1/2/2022,540,565,534.2,549,0.73,15457,8417646.9,1
1/3/2022,545,559,539,544,-0.91,46593,25564459,-1
1/4/2022,541,568,536,566,4.04,27443,15226271.3,1
1/5/2022,565,608,560.6,580,2.47,69522,40744392.3,1
1/6/2022,570,608,569,607,4.66,67178,40122758.1,1
1/9/2022,610,655.8,610,626,3.13,70612,44462698,1
1/10/2022,626,652.8,618.1,641,2.4,98654,62817870.6,1
1/11/2022,639,659.9,628,640,-0.16,55114,35518861.7,-1
1/12/2022,640,680,630,633,-1.09,69261,44828249.8,-1
1/13/2022,630,662,630,651,2.84,49360,31894723.6,1
1/16/2022,651,675,645,648,-0.46,73826,48711285.4,-1
1/17/2022,648,660,637,651,0.46,50062,32502580.4,1
1/18/2022,650,663,636,645,-0.92,39260,25363218.7,-1
1/19/2022,635,650,621.2,625,-3.1,39319,24814965.6,-1
1/20/2022,615.1,636,615.1,632.5,1.2,44219,27757637,1
1/23/2022,640,650,624,624,-1.34,28508,18076617.3,-1
1/24/2022,630,634,585,596,-4.49,61455,37216571.8,-1
1/25/2022,590,604,584,584,-2.01,45434,26916291.5,-1
1/26/2022,584,597,570,575.3,-1.49,37192,21555101.4,-1
1/27/2022,585,593,567.5,579,0.64,19650,11447017.5,1
1/30/2022,590,620,590,620,7.08,54130,33064320,1
1/31/2022,632,632,610.3,625.9,0.95,40002,24848791.3,1
2/1/2022,626,664.9,615,660,5.45,99983,64652281.2,1
2/3/2022,673.2,726,673.2,700,6.06,243194,171135531.8,1
2/6/2022,698,734,680,720,2.86,169085,119743605.8,1
2/7/2022,734.4,734.4,700,701,-2.64,101453,72209854.1,-1
2/8/2022,714,734,682.1,689,-1.71,81890,57278616.5,-1
2/9/2022,690,700,676,689,0,50041,34226961,0
2/10/2022,689,693,671,673.4,-2.26,51427,34854960.2,-1
2/13/2022,660,661,625,630,-6.44,95498,60689457.9,-1
2/14/2022,629,648,629,639.7,1.54,37280,23825280.2,1
2/15/2022,635,678,635,675,5.52,31341,20503396.1,1
2/16/2022,675,684,651,660,-2.22,39735,26447485.6,-1
2/17/2022,648.1,675,648.1,660,0,29969,19750016.5,0
2/20/2022,648,681,625,650.2,-1.48,69901,45946870.5,-1
2/21/2022,638,695,638,690,6.12,88463,59943198.2,1
2/22/2022,703.8,715,690,692,0.29,103869,73065018.8,-1
2/23/2022,690,700,681,686,-0.87,37756,26033406.4,-1
2/24/2022,673,690,660,665.2,-3.03,66226,44469943.4,-1
2/27/2022,674,685,651.9,671,0.87,44118,29656434.7,-1
2/28/2022,684,694,640.1,640.2,-4.59,64135,42416459.8,-1
3/2/2022,650,650,620,625,-2.37,58139,36512026,-1
3/6/2022,612.5,634,603,615,-1.6,42341,26124378.9,1
3/7/2022,627,627,608,610,-0.81,22758,14052026.9,-1
3/9/2022,610,617,595,595,-2.46,30491,18393624.5,-1
3/10/2022,594,630,591,628,5.55,36156,22163665,1
3/13/2022,639.9,650,625,648,3.18,37429,24020261.2,1
3/14/2022,650,650,632.5,637.2,-1.67,12016,7698735,-1
3/15/2022,637,642,626,627.3,-1.55,29790,18796780,-1
3/16/2022,627.3,638,615,615,-1.96,34061,21163832.9,-1
3/20/2022,620,625,608,610,-0.81,23212,14209723.3,-1
3/21/2022,600,641,600,634,3.93,33593,20861245.5,1
3/22/2022,621.5,656,621.5,645,1.74,51779,33427503.7,1
3/23/2022,632.1,642,632.1,638,-1.09,15415,9811673.4,1
3/24/2022,627,640,626.5,627,-1.72,18812,11876250.4,0
3/27/2022,615.1,629,608,608.3,-2.98,31294,19218639.4,-1
3/28/2022,607,620,600.2,610,0.28,29475,17944182.6,1
3/29/2022,610,619,600.1,608.1,-0.31,17194,10494256.5,-1
3/30/2022,605,624,605,620,1.96,15281,9429646.4,1
3/31/2022,620,632,610.1,610.1,-1.6,18745,11613296.5,-1
4/3/2022,602,615,602,610,-0.02,13321,8108879.4,1
4/4/2022,602,613,602,604,-0.98,18906,11473786,1
4/5/2022,594,602,587.1,593.1,-1.8,35236,20936336,-1
4/6/2022,594,604.9,583,593.1,0,13404,7987494.6,-1
4/7/2022,583,610,583,595,0.32,30004,17963843.5,1
4/11/2022,606.9,615,585,585,-1.68,30470,18184339.7,-1
4/12/2022,575,585,571,572,-2.22,17615,10139969,-1
4/13/2022,572,593,565,592,3.5,19205,11171200.6,1
4/17/2022,595,595,567,567.2,-4.19,33719,19597068.1,-1
4/18/2022,567.2,575,550,550,-3.03,17393,9663381.6,-1
4/19/2022,550,566,541,549,-0.18,10862,6005960.7,-1
4/20/2022,540,553,528,530,-3.46,16860,9083847.5,-1
4/21/2022,520,540,512,533.1,0.58,13030,6786070.1,1
4/24/2022,533,575,533,569,6.73,19968,11108644.6,1
4/25/2022,575,575,548.8,553,-2.81,30096,16834227.9,-1
4/26/2022,542,564,535.1,547,-1.08,7800,4304661,1
4/27/2022,539,565,539,562,2.74,27402,15183679,1
4/28/2022,555,580,555,556.9,-0.91,24675,13882904.6,1
5/2/2022,545.8,555,521.1,522,-6.27,20430,10933827,-1
5/4/2022,512.1,530,510,511,-2.11,20203,10464518.1,-1
5/5/2022,505,522,502,507,-0.78,16838,8575032.2,1
5/8/2022,505.1,540,502,540,6.51,11497,5874390.5,1
5/9/2022,540,547.9,525,530,-1.85,22692,12221645.5,-1
5/10/2022,540.5,560,530,552.9,4.32,31755,17249896.4,1
5/11/2022,542.1,580,542.1,577,4.36,38507,21665020.8,1
5/12/2022,588,588,550,560,-2.95,25258,14286129.8,-1
5/17/2022,548.8,555.9,528,528,-5.71,14159,7602312.9,-1
5/18/2022,519,555,515,540,2.27,15437,8196964.5,1
5/19/2022,529.2,561.7,529.2,534.1,-1.09,12079,6518994.5,1
5/20/2022,525,549.8,525,537.1,0.56,10827,5847809.5,1
5/23/2022,537,537,519.5,522.4,-2.74,23700,12454223.1,-1
5/24/2022,514.1,538,514.1,532,1.84,9659,5139878,1
5/25/2022,532.1,540,525,530.2,-0.34,7417,3963223.7,-1
5/26/2022,527.1,536.3,523.2,525,-0.98,16506,8710448.8,-1
