published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
6/2/2011,1551,1586,1550,1557,nan,1379,2143240,0
6/5/2011,1557,1560,1490,1560,0.19,3508,5284380,0
6/6/2011,1560,1541,1490,1541,-1.22,1182,1772096,0
6/7/2011,1541,1511,1452,1474,-4.35,420,619870,0
6/8/2011,1474,1475,1400,1400,-5.02,1764,2504733,0
6/9/2011,1400,1428,1347,1351,-3.5,2003,2730544,0
6/12/2011,1351,1368,1340,1368,1.26,1468,1975016,0
6/13/2011,1368,1356,1340,1355,-0.95,1453,1956459,0
6/14/2011,1355,1340,1315,1334,-1.55,1120,1483752,0
6/15/2011,1334,1315,1280,1300,-2.55,1151,1488985,0
6/16/2011,1300,1430,1290,1430,10,1596,2116874,0
6/19/2011,1430,1573,1458,1573,10,2217,3342556,0
6/20/2011,1430,1573,1458,1573,0,2217,3342556,0
6/21/2011,1698,1750,1700,1750,11.25,4412,7590665,0
6/23/2011,1750,1801,1750,1801,2.91,6599,11685109,0
6/26/2011,1801,1836,1620,1620,-10.05,4486,7872459,0
6/27/2011,1620,1588,1458,1458,-10,1941,2883720,0
6/29/2011,1458,1576,1370,1570,7.68,506,729616,0
6/30/2011,1570,1561,1513,1560,-0.64,1381,2117377,0
7/3/2011,1560,1559,1520,1559,-0.06,573,875682,0
7/4/2011,1559,1570,1535,1550,-0.58,1354,2100950,0
7/5/2011,1550,1590,1550,1580,1.94,3419,5322479,0
7/6/2011,1580,1620,1575,1615,2.22,1721,2728010,0
7/7/2011,1615,1632,1585,1600,-0.93,1477,2352831,0
7/10/2011,1600,1650,1570,1640,2.5,1426,2293069,0
7/11/2011,1640,1675,1649,1649,0.55,1019,1695313,0
7/12/2011,1649,1720,1670,1671,1.33,1431,2410793,0
7/13/2011,1671,1740,1672,1700,1.74,973,1647801,0
7/14/2011,1700,1800,1690,1800,5.88,999,1710007,0
7/17/2011,1800,1980,1836,1980,10,655,1289391,0
7/18/2011,1980,2019,1800,1846,-6.77,1273,2391289,0
7/19/2011,1846,1895,1842,1885,2.11,1716,3215121,0
7/20/2011,1885,1960,1880,1948,3.34,2432,4658279,0
7/21/2011,1948,1994,1905,1955,0.36,1729,3362006,0
7/24/2011,1955,1954,1820,1876,-4.04,883,1645573,0
7/25/2011,1876,1839,1800,1809,-3.57,427,776258,0
7/26/2011,1809,1801,1795,1800,-0.5,1638,2940950,0
7/27/2011,1800,1876,1800,1839,2.17,854,1554951,0
7/28/2011,1839,1860,1815,1840,0.05,569,1047479,0
7/31/2011,1840,1841,1800,1832,-0.43,331,601072,0
8/1/2011,1832,1829,1785,1825,-0.38,429,770368,0
8/2/2011,1825,1830,1790,1830,0.27,540,970910,0
8/3/2011,1830,1818,1790,1800,-1.64,435,782060,0
8/4/2011,1800,1805,1790,1796,-0.22,585,1050148,0
8/7/2011,1796,1805,1805,1805,0.5,30,54150,0
8/8/2011,1805,1815,1780,1780,-1.39,121,216255,0
8/9/2011,1780,1745,1659,1680,-5.62,1468,2472270,0
8/10/2011,1680,1777,1690,1740,3.57,312,535688,0
8/11/2011,1740,1750,1695,1702,-2.18,1013,1725100,0
8/15/2011,1702,1740,1698,1734,1.88,1356,2315385,0
8/16/2011,1734,1745,1734,1739,0.29,395,686285,0
8/17/2011,1739,1743,1665,1690,-2.82,1746,2958900,0
8/18/2011,1690,1721,1700,1721,1.83,1061,1806235,0
8/22/2011,1721,1715,1680,1691,-1.74,404,684757,0
8/23/2011,1691,1710,1691,1700,0.53,586,995942,0
8/24/2011,1700,1703,1671,1700,0,263,444554,0
8/25/2011,1700,1705,1700,1705,0.29,618,1050880,0
8/28/2011,1705,1671,1534,1550,-9.09,3311,5113992,0
8/29/2011,1550,1611,1520,1611,3.94,687,1062307,0
8/30/2011,1611,1611,1568,1600,-0.68,1331,2103331,0
9/1/2011,1600,1629,1570,1590,-0.62,1761,2803447,0
9/4/2011,1590,1600,1570,1592,0.13,653,1031190,0
9/5/2011,1592,1584,1555,1555,-2.32,1579,2474710,0
9/6/2011,1555,1549,1524,1525,-1.93,1371,2098888,0
9/7/2011,1525,1535,1492,1510,-0.98,1132,1707814,0
9/8/2011,1510,1505,1480,1480,-1.99,670,998735,0
9/12/2011,1480,1484,1455,1460,-1.35,724,1056377,0
9/13/2011,1460,1470,1440,1465,0.34,1317,1911525,0
9/14/2011,1465,1440,1319,1325,-9.56,3561,4728155,0
9/15/2011,1325,1395,1340,1360,2.64,385,520891,0
9/18/2011,1360,1365,1328,1365,0.37,698,933195,0
9/19/2011,1365,1365,1365,1365,0,100,136500,0
9/20/2011,1365,1392,1360,1392,1.98,217,295804,0
