published_date,open,high,low,close,per_change,traded_quantity,traded_amount,status
3/27/2011,237,235,235,235,nan,1239,291165,0
3/28/2011,235,233,233,233,-0.85,100,23300,0
3/29/2011,233,229,225,225,-3.43,1062,239810,0
3/30/2011,225,225,225,225,0,123,27675,0
3/31/2011,225,222,218,218,-3.11,644,140836,0
4/4/2011,218,222,222,222,1.83,161,35742,0
4/6/2011,222,222,222,222,0,123,27306,0
4/11/2011,222,225,221,221,-0.45,278,62150,0
4/17/2011,221,220,220,220,-0.45,211,46420,0
5/10/2011,220,216,216,216,-1.82,156,33696,0
5/12/2011,216,212,212,212,-1.85,1000,212000,0
5/15/2011,212,208,208,208,-1.89,1000,208000,0
5/16/2011,208,204,204,204,-1.92,1000,204000,0
5/18/2011,204,203,203,203,-0.49,131,26593,0
5/24/2011,203,193,190,190,-6.4,9000,1713000,0
5/25/2011,190,190,190,190,0,10000,1900000,0
5/26/2011,190,190,190,190,0,10000,1900000,0
6/6/2011,190,187,187,187,-1.58,17000,3179000,0
6/8/2011,187,190,190,190,1.6,300,57000,0
6/9/2011,190,193,193,193,1.58,300,57900,0
6/12/2011,193,192,192,192,-0.52,300,57600,0
6/13/2011,192,190,190,190,-1.04,1000,190000,0
6/16/2011,190,193,190,190,0,1369,261217,0
6/27/2011,190,193,193,193,1.58,1300,250900,0
7/3/2011,193,196,190,196,1.55,1600,307300,0
7/5/2011,196,196,196,196,0,713,139748,0
7/6/2011,196,199,199,199,1.53,100,19900,0
7/7/2011,199,196,196,196,-1.51,711,139356,0
7/10/2011,196,199,199,199,1.53,100,19900,0
7/11/2011,199,202,202,202,1.51,100,20200,0
7/13/2011,202,202,202,202,0,3485,703970,0
7/24/2011,202,198,198,198,-1.98,304,60192,0
7/31/2011,198,200,200,200,1.01,1409,281800,0
8/1/2011,200,196,196,196,-2,200,39200,0
8/18/2011,196,193,180,180,-8.16,28015,5050500,0
9/20/2011,180,183,180,183,1.67,3346,603612,0
11/8/2011,183,186,186,186,1.64,100,18600,0
11/15/2011,186,140,140,140,-24.73,1020144,142820160,0
12/4/2011,192,195,195,195,39.29,304,59280,0
12/5/2011,195,198,198,198,1.54,723,143154,0
12/7/2011,198,201,201,201,1.52,304,61104,0
1/16/2012,201,168,168,168,-16.42,100,16800,0
1/23/2012,168,171,171,171,1.79,113,19323,0
