published_date,open,high,low,close,per_change,traded_quantity,traded_amount
2022-01-02,210.5,210.5,205.8,208.0,-0.48,18999.0,3932807.0
2022-01-03,209.0,213.0,208.0,211.0,1.44,17758.0,3749380.5
2022-01-04,210.0,215.3,208.0,214.0,1.42,36481.0,7770474.5
2022-01-05,214.0,217.0,208.8,210.3,-1.73,17351.0,3707132.8
2022-01-06,211.0,220.0,208.0,217.0,3.19,29617.0,6320346.1
2022-01-09,215.0,224.0,215.0,219.0,0.92,50239.0,11061683.4
2022-01-10,223.0,225.9,218.0,219.0,0.0,73474.0,16223000.7
2022-01-11,217.1,237.8,217.0,235.3,7.44,113978.0,26514544.8
2022-01-12,233.0,240.0,225.7,229.5,-2.46,50757.0,11806382.4
2022-01-13,230.0,232.0,224.5,230.0,0.22,31963.0,7322314.5
2022-01-16,234.0,239.0,231.0,232.0,0.87,57772.0,13505357.0
2022-01-17,231.1,235.0,229.1,232.0,0.0,28213.0,6542093.4
2022-01-18,230.1,245.0,229.0,239.9,3.41,141732.0,34011257.4
2022-01-19,240.0,240.0,230.8,231.2,-3.63,30408.0,7125956.6
2022-01-20,230.0,235.0,230.0,232.0,0.35,30832.0,7134157.5
2022-01-23,235.0,235.0,224.0,226.0,-2.59,31568.0,7210656.7
2022-01-24,223.1,227.0,217.6,218.9,-3.14,55895.0,12351928.5
2022-01-25,217.0,227.0,215.2,222.0,1.42,31022.0,6874019.4
2022-01-26,226.2,226.2,215.0,217.1,-2.21,26547.0,5780485.5
2022-01-27,216.9,220.0,216.0,217.0,-0.05,15214.0,3306905.3
2022-01-30,220.0,228.8,220.0,228.0,5.07,29973.0,6785252.4
2022-01-31,230.0,230.0,221.0,225.0,-1.32,13772.0,3100473.6
2022-02-01,225.0,231.0,221.5,226.1,0.49,22376.0,5076784.2
2022-02-03,226.1,228.0,223.2,224.0,-0.93,22385.0,5060777.6
2022-02-06,222.0,224.0,220.0,223.0,-0.45,24312.0,5377794.0
2022-02-07,219.3,226.9,219.0,223.9,0.4,61428.0,13590617.0
2022-02-08,228.0,237.4,223.0,223.0,-0.4,19982.0,4508780.3
2022-02-09,220.0,223.0,218.7,223.0,0.0,21852.0,4829446.0
2022-02-10,224.0,224.0,218.2,218.2,-2.15,17162.0,3770513.0
2022-02-13,214.0,215.0,209.8,210.0,-3.76,40020.0,8464044.5
2022-02-14,212.9,214.0,208.1,210.5,0.24,18574.0,3928105.2
2022-02-15,213.0,214.7,210.0,214.7,2.0,11726.0,2487220.0
2022-02-16,213.9,216.9,210.5,211.0,-1.72,23896.0,5072000.6
2022-02-17,212.0,213.6,210.1,212.0,0.47,10796.0,2288021.7
2022-02-20,207.8,210.0,205.0,208.0,-1.89,21795.0,4540417.0
2022-02-21,208.6,212.0,208.6,211.9,1.88,9968.0,2098746.9
2022-02-22,213.0,214.8,209.1,211.3,-0.28,13467.0,2866809.1
2022-02-23,213.0,213.7,209.0,209.0,-1.09,10883.0,2286079.4
2022-02-24,207.0,209.0,206.0,206.7,-1.1,22186.0,4601127.8
2022-02-27,210.0,210.0,204.5,207.0,0.15,27384.0,5634570.4
2022-02-28,210.0,212.9,205.0,205.0,-0.97,22520.0,4679400.0
2022-03-02,209.0,209.0,202.0,203.0,-0.98,14188.0,2889918.6
2022-03-06,202.1,207.0,202.0,203.0,0.0,17537.0,3584982.8
2022-03-07,206.9,208.9,204.0,204.0,0.49,16553.0,3415599.5
2022-03-09,206.0,206.0,200.0,202.0,-0.98,13545.0,2726729.0
2022-03-10,202.0,207.0,200.7,207.0,2.48,13640.0,2788025.0
2022-03-13,207.3,225.0,207.0,220.5,6.52,110103.0,24132360.3
2022-03-14,224.0,224.0,213.7,218.0,-1.13,11919.0,2617827.4
2022-03-15,222.0,239.7,217.0,232.2,6.51,144347.0,32699588.5
2022-03-16,227.6,250.0,225.0,242.0,4.22,273035.0,65769430.9
2022-03-20,242.0,243.0,230.0,236.0,-2.48,127801.0,30366907.3
2022-03-21,233.8,237.9,228.0,232.4,-1.53,57454.0,13383455.8
2022-03-22,235.0,238.3,229.4,236.0,1.55,42127.0,9924876.3
2022-03-23,238.0,240.0,233.0,235.1,-0.38,48415.0,11434231.2
2022-03-24,234.0,236.0,226.1,231.9,-1.36,35293.0,8144818.5
2022-03-27,227.4,230.0,223.1,224.0,-3.41,50463.0,11411793.1
2022-03-28,223.0,227.0,220.0,223.5,-0.22,35381.0,7907759.5
2022-03-29,227.0,233.0,225.0,226.5,1.34,28293.0,6422982.2
2022-03-30,230.9,234.8,226.3,234.5,3.53,28653.0,6616903.4
2022-03-31,236.9,237.0,227.2,228.0,-2.77,26758.0,6172727.8
2022-04-03,225.0,229.0,224.0,225.0,-1.32,18817.0,4241799.5
2022-04-04,227.0,229.0,223.0,224.6,-0.18,20419.0,4606692.0
2022-04-05,222.0,230.0,221.1,227.9,1.47,44152.0,9887500.3
2022-04-06,229.9,241.0,225.4,237.0,3.99,138035.0,32323176.6
2022-04-07,241.7,241.7,234.9,235.5,-0.63,45871.0,10853666.5
2022-04-11,238.0,239.0,227.6,228.0,-3.18,53171.0,12412141.6
2022-04-12,230.0,233.0,225.0,228.0,0.0,77700.0,17682579.2
2022-04-13,229.0,235.0,224.0,230.0,0.88,52948.0,12191427.8
2022-04-17,228.0,232.7,224.0,225.0,-2.17,39499.0,8982541.0
2022-04-18,225.0,226.8,221.5,222.0,-1.33,32816.0,7320159.5
2022-04-19,221.0,230.0,221.0,225.0,1.35,25230.0,5681508.6
2022-04-20,226.0,226.0,218.0,219.0,-2.67,44988.0,9946504.9
2022-04-21,219.0,224.4,215.0,220.0,0.46,37385.0,8171890.9
2022-04-24,217.1,232.0,217.1,227.0,3.18,38956.0,8841944.8
2022-04-25,227.0,231.0,225.1,228.8,0.79,36526.0,8341582.0
2022-04-26,228.0,230.0,225.5,228.0,-0.35,23146.0,5250390.3
2022-04-27,226.1,230.9,225.0,230.8,1.23,30045.0,6864485.0
2022-04-28,229.9,229.9,225.2,227.0,-1.65,20035.0,4540165.2
2022-05-02,223.0,224.0,218.1,218.7,-3.66,31021.0,6847768.6
2022-05-04,216.2,220.0,211.7,212.3,-2.93,39752.0,8562648.0
2022-05-05,210.0,215.0,209.0,212.0,-0.14,36948.0,7805275.9
2022-05-08,212.0,220.0,211.7,220.0,3.77,21117.0,4520591.5
2022-05-09,220.0,221.0,215.6,217.0,-1.36,13076.0,2849581.6
2022-05-10,219.9,220.5,214.0,219.2,1.01,16240.0,3557782.2
2022-05-11,221.0,225.0,218.1,224.0,2.19,40793.0,9040222.8
2022-05-12,225.0,227.3,220.1,222.0,-0.89,41004.0,9176044.8
2022-05-17,220.0,222.0,216.0,218.5,-1.58,26510.0,5803633.8
2022-05-18,218.5,221.0,216.0,220.0,0.69,18975.0,4157728.6
2022-05-19,218.0,220.0,215.8,217.0,-1.36,17123.0,3705537.3
2022-05-20,219.9,221.0,216.3,217.0,0.0,13950.0,3049312.0
2022-05-23,215.0,215.0,211.1,211.2,-2.67,23394.0,4979462.6
2022-05-24,211.0,215.9,210.0,213.8,1.23,10785.0,2297565.0
2022-05-25,215.0,215.4,208.0,213.4,-0.19,32921.0,6927347.2
2022-05-26,215.0,215.1,212.0,212.0,-0.66,30756.0,6568517.5
2022-05-27,215.0,215.0,207.8,212.0,0.0,37400.0,7861513.0
2022-05-30,210.0,210.1,206.1,208.8,-1.51,24038.0,4982010.4
2022-05-31,205.0,208.9,204.8,207.0,-0.86,18322.0,3777255.6
2022-06-01,211.0,211.0,206.0,210.0,1.45,8700.0,1808570.0
2022-06-02,211.0,211.0,206.1,206.4,-1.71,8142.0,1686335.4
2022-06-03,205.1,207.8,204.0,205.0,-0.68,26076.0,5359045.5
2022-06-06,208.0,210.0,205.1,206.5,0.73,11483.0,2382208.5
2022-06-07,207.0,207.0,205.0,205.0,-0.73,9834.0,2021365.3
2022-06-08,207.0,215.0,204.0,210.1,2.49,13767.0,2873901.8
2022-06-09,207.1,212.0,205.0,206.5,-1.71,23200.0,4805084.6
2022-06-10,204.0,205.9,202.4,205.0,-0.73,4967.0,1012428.4
2022-06-13,201.1,206.0,201.1,203.8,-0.59,5776.0,1175517.6
2022-06-14,202.0,205.4,200.7,202.0,-0.88,23549.0,4753554.4
2022-06-15,203.0,203.0,198.0,200.0,-0.99,18912.0,3782124.8
2022-06-16,204.0,204.0,199.3,202.0,1.0,15869.0,3190871.0
2022-06-17,202.3,202.3,199.9,199.9,-1.04,4373.0,880674.2
2022-06-19,198.0,201.8,196.1,196.2,-1.85,18921.0,3749911.4
2022-06-20,193.0,196.8,192.0,193.1,-1.58,20188.0,3902542.9
2022-06-21,196.0,204.0,191.1,196.5,1.76,11300.0,2225765.0
2022-06-22,195.0,196.0,193.4,194.0,-1.27,3960.0,769594.0
2022-06-23,191.0,194.0,186.7,189.1,-2.53,29246.0,5548637.0
2022-06-24,189.0,196.8,188.0,191.0,1.0,4150.0,791760.0
